,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,,happiness,Female,49.732,51.072
0,1,,happiness,Female,56.166,55.334
0,2,,happiness,Female,34.966,39.406
0,3,,neutral,Female,53.309,49.995
0,4,,neutral,Female,63.283,57.897
0,5,,neutral,Female,77.012,75.418
0,6,,happiness,Female,56.108,62.888
0,7,,neutral,Female,53.787,62.347
0,8,,happiness,Female,73.035,76.416
0,9,,happiness,Female,73.021,79.898
0,10,,happiness,Female,53.935,56.755
0,11,,happiness,Female,78.322,83.066
0,12,,happiness,Female,26.596,34.108
0,13,,happiness,Female,62.439,61.331
0,14,,happiness,Female,72.073,72.634
0,15,,happiness,Female,59.487,59.677
0,16,,happiness,Female,65.921,63.943
0,17,,neutral,Female,68.401,68.673
0,18,,happiness,Female,60.55,65.496
0,19,,disgust,Female,43.126,44.082
0,20,,happiness,Female,41.214,45.521
0,21,,happiness,Female,45.612,49.521
0,22,,happiness,Female,58.921,61.293
0,23,,happiness,Female,69.31,77.392
0,24,,neutral,Female,50.547,53.841
0,25,,neutral,Female,51.826,55.074
0,26,,happiness,Female,54.353,58.829
0,27,,happiness,Female,46.968,50.69
0,28,,happiness,Female,63.543,65.038
0,29,,fear,Female,52.681,52.183
0,30,,neutral,Female,78.897,79.837
0,31,,happiness,Female,42.305,45.986
0,32,,happiness,Female,64.598,65.009
0,33,,neutral,Female,69.92,72.127
0,34,,happiness,Female,59.944,58.98
0,35,,sadness,Female,42.99,45.898
0,36,,happiness,Female,66.916,66.9
0,37,,happiness,Female,57.797,59.755
0,38,,happiness,Female,40.968,38.232
0,39,,happiness,Female,55.347,59.431
0,40,,happiness,Female,53.242,56.141
0,41,,disgust,Male,33.987,39.673
0,42,,happiness,Female,53.086,55.059
0,43,,happiness,Female,69.644,75.108
0,44,,happiness,Female,56.914,57.23
0,45,,happiness,Female,66.661,69.922
0,46,,happiness,Female,64.14,64.209
0,47,,happiness,Female,50.192,60.533
0,48,,happiness,Female,75.903,76.032
0,49,,happiness,Female,82.686,88.113
0,50,,happiness,Female,36.496,41.077
0,51,,sadness,Female,30.539,37.387
0,52,,happiness,Female,66.145,66.335
0,53,,neutral,Female,45.185,45.221
0,54,,happiness,Female,48.115,49.027
0,55,,happiness,Female,55.379,57.184
0,56,,happiness,Female,51.371,54.05
0,57,,disgust,Female,47.488,51.166
0,58,,sadness,Female,50.907,50.559
0,59,,neutral,Female,78.603,78.817
0,60,,neutral,Female,67.207,63.129
0,61,,neutral,Female,64.727,67.562
0,62,,neutral,Female,76.432,82.29
0,63,,sadness,Female,41.902,50.74
0,64,,disgust,Female,66.69,68.104
0,65,,happiness,Female,24.083,38.714
0,66,,happiness,Female,69.325,71.475
0,67,,sadness,Female,59.432,61.798
0,68,,happiness,Female,41.582,44.328
0,69,,happiness,Female,66.574,62.85
0,70,,happiness,Female,72.939,79.184
0,71,,neutral,Female,82.327,86.321
0,72,,neutral,Female,88.258,87.023
0,73,,happiness,Female,59.733,62.777
0,74,,happiness,Female,51.855,57.94
0,75,,happiness,Female,37.861,42.875
0,76,,neutral,Female,53.957,50.499
0,77,,happiness,Female,39.53,50.682
0,78,,neutral,Female,63.637,68.407
0,79,,happiness,Female,28.054,25.768
0,80,,happiness,Female,80.691,85.276
0,81,,neutral,Female,54.407,61.403
0,82,,happiness,Female,17.484,24.577
0,83,,neutral,Female,79.593,81.62
0,84,,happiness,Female,51.432,52.99
0,85,,happiness,Female,74.404,77.6
0,86,,surprise,Female,54.607,56.296
0,87,,happiness,Female,32.572,41.43
0,88,,happiness,Female,53.888,52.963
0,89,,neutral,Female,59.702,61.076
0,90,,neutral,Female,69.621,70.003
0,91,,happiness,Female,42.217,38.593
0,92,,anger,Male,42.738,41.014
0,93,,neutral,Female,47.226,44.166
0,94,,happiness,Female,47.53,48.36
0,95,,neutral,Female,84.92,87.01
0,96,,happiness,Female,54.313,56.596
0,97,,happiness,Female,49.625,51.869
0,98,,neutral,Female,76.762,74.025
0,99,,neutral,Female,38.226,35.316
