,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,,neutral,Male,71.625,75.708
0,1,,neutral,Male,59.468,60.827
0,2,,surprise,Male,52.752,57.556
0,3,,happiness,Male,40.448,45.102
0,4,,neutral,Male,78.544,80.414
0,5,,happiness,Male,42.548,48.562
0,6,,happiness,Male,80.779,87.548
0,7,,sadness,Male,54.486,59.904
0,8,,happiness,Male,68.064,74.664
0,9,,fear,Male,71.49,73.358
0,10,,happiness,Male,28.322,42.657
0,11,,neutral,Male,30.111,37.225
0,12,,neutral,Male,75.203,78.02
0,13,,neutral,Male,55.144,67.312
0,14,,neutral,Male,67.114,71.714
0,15,,fear,Male,76.501,77.205
0,16,,happiness,Male,49.089,52.342
0,17,,happiness,Male,69.061,72.091
0,18,,happiness,Male,74.44,77.87
0,19,,happiness,Male,48.006,56.376
0,20,,neutral,Male,79.767,83.022
0,21,,surprise,Male,76.088,76.26
0,23,,neutral,Male,67.635,68.218
0,24,,happiness,Male,56.133,59.603
0,25,,neutral,Male,30.341,40.949
0,26,,neutral,Male,57.694,58.998
0,27,,sadness,Male,47.763,53.157
0,28,,neutral,Male,75.863,78.462
0,29,,neutral,Male,33.434,38.063
0,30,,happiness,Male,31.525,41.708
0,31,,neutral,Male,76.796,82.293
0,32,,neutral,Male,63.751,68.339
0,33,,happiness,Male,74.546,78.593
0,34,,happiness,Male,68.298,69.274
0,35,,neutral,Male,62.515,62.218
0,36,,neutral,Male,88.633,91.82
0,37,,happiness,Male,80.44,83.348
0,38,,happiness,Male,72.263,69.129
0,39,,neutral,Male,46.424,49.406
0,40,,neutral,Male,84.213,82.116
0,42,,happiness,Male,66.847,72.72
0,43,,neutral,Male,64.41,68.804
0,44,,neutral,Male,68.168,65.139
0,45,,anger,Male,60.89,62.259
0,46,,happiness,Male,70.481,76.257
0,47,,neutral,Male,59.968,59.347
0,48,,happiness,Male,61.985,68.418
0,49,,neutral,Male,82.937,83.248
0,50,,sadness,Male,53.339,59.042
0,51,,happiness,Male,42.054,55.629
0,52,,happiness,Male,83.042,84.154
0,53,,happiness,Male,66.405,70.669
0,54,,happiness,Male,81.065,86.097
0,55,,happiness,Male,49.681,52.586
0,56,,neutral,Male,78.201,81.885
0,57,,happiness,Male,57.113,56.708
0,58,,neutral,Male,42.221,50.765
0,59,,neutral,Male,65.916,68.281
0,60,,happiness,Male,78.393,83.73
0,61,,anger,Male,42.972,48.855
0,62,,neutral,Male,73.284,74.499
0,63,,happiness,Male,54.038,58.515
0,64,,neutral,Male,66.863,73.662
0,65,,neutral,Male,81.219,84.176
0,66,,neutral,Male,78.223,80.486
0,67,,neutral,Male,72.233,73.155
0,68,,happiness,Male,35.707,45.101
0,69,,neutral,Male,80.546,79.31
0,70,,happiness,Male,50.205,52.589
0,71,,neutral,Male,59.151,59.903
0,72,,happiness,Male,64.614,66.674
0,73,,happiness,Male,85.621,90.696
0,74,,happiness,Male,42.3,50.21
0,75,,neutral,Male,73.555,72.887
0,76,,happiness,Male,61.117,62.235
0,77,,neutral,Male,68.267,72.867
0,78,,neutral,Male,76.231,75.989
0,79,,sadness,Male,77.952,81.2
0,80,,neutral,Male,84.651,85.183
0,81,,neutral,Male,35.393,33.944
0,82,,neutral,Male,44.625,53.669
0,83,,happiness,Male,87.277,89.547
0,84,,happiness,Male,67.962,74.572
0,85,,neutral,Male,83.586,85.988
0,86,,neutral,Male,76.231,79.666
0,87,,neutral,Male,72.533,75.211
0,88,,neutral,Male,50.107,58.373
0,89,,neutral,Male,38.952,42.77
0,90,,neutral,Male,50.983,54.939
0,91,,neutral,Male,80.982,83.548
0,92,,happiness,Male,72.498,78.647
0,93,,neutral,Male,69.6,68.104
0,94,,neutral,Male,39.581,46.856
0,95,,happiness,Male,39.709,45.556
0,96,,neutral,Male,82.255,85.755
0,97,,neutral,Male,39.188,43.061
0,98,,anger,Male,73.306,76.028
0,99,,neutral,Male,61.241,64.904
