,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,,neutral,Female,64.78,66.797
0,1,,happiness,Female,65.514,72.07
0,2,,neutral,Female,65.709,63.456
0,3,,happiness,Female,66.875,73.425
0,4,,neutral,Male,63.96,64.078
0,5,,happiness,Female,48.515,54.919
0,6,,happiness,Female,69.83,76.472
0,7,,neutral,Female,62.071,59.991
0,8,,neutral,Male,66.314,69.329
0,10,,neutral,Female,52.831,53.477
0,11,,neutral,Male,59.855,61.219
0,12,,happiness,Female,61.093,57.38
0,13,,neutral,Female,24.965,26.952
0,15,,happiness,Female,75.099,78.663
0,16,,disgust,Female,71.666,71.869
0,17,,happiness,Female,48.527,51.587
0,18,,happiness,Female,37.783,42.586
0,19,,happiness,Female,73.58,74.073
0,20,,surprise,Female,62.981,60.625
0,21,,happiness,Female,55.551,59.078
0,22,,happiness,Female,29.993,35.766
0,23,,happiness,Female,59.902,63.765
0,25,,happiness,Female,70.198,70.613
0,26,,happiness,Female,58.072,63.366
0,27,,happiness,Male,43.362,44.928
0,28,,neutral,Female,56.903,57.39
0,29,,happiness,Female,54.677,64.051
0,30,,happiness,Female,53.083,56.02
0,31,,happiness,Male,52.957,47.751
0,32,,happiness,Female,53.022,50.617
0,33,,happiness,Female,43.642,42.653
0,34,,disgust,Female,43.233,40.732
0,35,,happiness,Male,58.178,61.884
0,36,,happiness,Female,39.278,38.085
0,37,,happiness,Female,34.93,40.822
0,38,,happiness,Male,36.137,39.819
0,41,,happiness,Female,54.653,58.328
0,42,,happiness,Female,71.12,77.087
0,43,,happiness,Female,75.988,83.957
0,44,,happiness,Female,51.754,50.899
0,45,,happiness,Female,52.961,64.046
0,48,,happiness,Female,62.415,66.147
0,49,,happiness,Female,49.374,53.123
0,50,,happiness,Female,55.842,60.107
0,51,,sadness,Female,31.957,32.179
0,52,,neutral,Female,63.893,64.519
0,53,,happiness,Female,44.423,46.333
0,54,,surprise,Female,65.626,69.451
0,55,,neutral,Female,73.549,76.941
0,56,,neutral,Female,59.448,64.174
0,57,,neutral,Male,41.832,40.318
0,58,,happiness,Female,67.511,67.303
0,59,,happiness,Male,64.041,66.732
0,60,,sadness,Female,44.519,42.762
0,61,,happiness,Female,55.614,54.749
0,62,,happiness,Female,50.285,52.348
0,63,,happiness,Male,44.628,41.206
0,64,,happiness,Female,56.923,66.723
0,66,,happiness,Female,52.148,54.348
0,67,,neutral,Female,65.661,64.137
0,68,,sadness,Female,47.954,57.335
0,69,,happiness,Male,74.935,79.908
0,70,,happiness,Female,55.174,51.826
0,71,,happiness,Female,44.343,46.699
0,72,,sadness,Male,60.025,62.547
0,73,,happiness,Male,44.445,40.816
0,74,,neutral,Female,72.765,73.015
0,75,,happiness,Female,60.23,62.501
0,76,,happiness,Female,73.97,81.732
0,77,,happiness,Female,66.596,66.103
0,78,,happiness,Female,71.948,76.729
0,79,,happiness,Female,61.513,60.286
0,81,,happiness,Female,64.376,65.026
0,82,,neutral,Male,57.549,62.316
0,83,,happiness,Female,57.012,58.31
0,84,,happiness,Female,38.555,49.417
0,85,,sadness,Male,59.283,59.564
0,86,,happiness,Female,75.291,83.762
0,88,,happiness,Female,65.376,66.913
0,89,,happiness,Female,50.847,52.006
0,90,,fear,Female,68.041,67.687
0,91,,happiness,Female,52.915,57.341
0,92,,neutral,Female,70.058,73.156
0,93,,surprise,Female,66.447,64.541
0,94,,happiness,Female,58.619,61.257
0,95,,neutral,Female,65.056,70.435
0,96,,disgust,Male,59.482,60.293
0,97,,neutral,Female,39.52,44.202
0,98,,neutral,Female,58.073,59.75
0,99,,neutral,Female,64.653,64.974
