,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,,neutral,Male,57.256,55.966
0,1,,happiness,Female,33.701,42.19
0,2,,neutral,Female,82.486,85.421
0,3,,sadness,Female,52.68,55.53
0,4,,neutral,Female,49.342,52.422
0,5,,happiness,Female,26.916,28.802
0,6,,happiness,Female,67.281,70.538
0,7,,sadness,Female,58.353,58.025
0,8,,happiness,Female,41.937,51.49
0,9,,happiness,Female,29.55,36.851
0,10,,happiness,Female,46.873,53.793
0,11,,happiness,Female,63.959,64.524
0,12,,happiness,Female,24.963,33.186
0,13,,happiness,Female,46.28,46.083
0,14,,surprise,Female,56.555,59.765
0,15,,happiness,Female,64.147,64.559
0,16,,neutral,Female,41.877,52.043
0,17,,happiness,Female,46.368,51.811
0,18,,happiness,Female,41.546,46.464
0,19,,fear,Female,38.859,46.487
0,20,,neutral,Female,66.2,70.249
0,21,,neutral,Female,78.948,80.141
0,22,,happiness,Female,53.702,55.675
0,23,,happiness,Female,61.314,67.328
0,24,,happiness,Female,52.88,59.829
0,25,,happiness,Female,69.708,74.832
0,26,,happiness,Female,28.157,34.944
0,27,,happiness,Female,72.51,76.091
0,28,,happiness,Female,51.529,49.899
0,29,,sadness,Female,37.145,44.849
0,30,,happiness,Female,60.34,64.222
0,31,,happiness,Female,42.845,45.141
0,33,,disgust,Female,62.675,63.488
0,34,,neutral,Female,85.105,86.55
0,35,,neutral,Female,72.85,73.903
0,36,,happiness,Female,51.318,55.74
0,37,,fear,Male,56.306,63.297
0,38,,neutral,Female,61.469,58.362
0,39,,happiness,Female,74.053,80.585
0,40,,happiness,Female,69.446,72.417
0,41,,happiness,Female,60.5,71.204
0,42,,happiness,Female,41.45,47.187
0,43,,neutral,Female,80.823,87.508
0,44,,happiness,Female,39.207,46.369
0,45,,happiness,Female,40.828,43.218
0,46,,happiness,Female,56.103,61.727
0,47,,neutral,Female,30.956,39.114
0,48,,fear,Female,48.704,54.01
0,49,,sadness,Female,36.568,42.851
0,50,,disgust,Female,40.756,51.46
0,51,,happiness,Female,56.421,60.691
0,52,,neutral,Female,61.014,62.763
0,53,,happiness,Female,65.826,69.388
0,54,,neutral,Female,55.684,56.36
0,55,,happiness,Male,41.023,46.329
0,56,,happiness,Female,45.286,47.381
0,57,,happiness,Female,67.804,68.945
0,58,,neutral,Female,46.032,52.156
0,59,,neutral,Female,44.243,47.628
0,60,,happiness,Female,41.661,44.135
0,61,,neutral,Female,90.524,91.958
0,62,,neutral,Female,82.012,86.723
0,63,,happiness,Female,40.699,40.238
0,64,,sadness,Female,39.978,47.11
0,65,,happiness,Female,38.522,42.272
0,66,,neutral,Female,74.441,78.348
0,67,,neutral,Female,75.084,76.174
0,68,,happiness,Female,41.846,48.808
0,69,,neutral,Female,86.478,87.279
0,70,,neutral,Female,82.137,83.898
0,71,,happiness,Female,38.523,45.518
0,72,,neutral,Female,73.846,81.553
0,73,,happiness,Female,64.184,68.838
0,74,,neutral,Female,80.711,84.298
0,75,,happiness,Female,60.843,71.23
0,76,,happiness,Female,61.041,62.902
0,77,,neutral,Female,73.911,78.368
0,78,,happiness,Female,56.228,60.236
0,79,,neutral,Female,62.731,62.932
0,80,,happiness,Female,53.58,57.131
0,81,,happiness,Female,44.396,48.937
0,82,,happiness,Female,63.63,73.132
0,83,,happiness,Female,66.416,74.796
0,84,,neutral,Female,76.84,80.577
0,85,,happiness,Female,61.226,59.759
0,86,,happiness,Female,57.996,70.271
0,87,,anger,Female,25.12,28.518
0,88,,surprise,Female,57.321,65.249
0,89,,fear,Female,57.302,66.103
0,90,,neutral,Female,43.128,46.524
0,91,,sadness,Female,81.492,76.371
0,92,,happiness,Female,61.298,58.545
0,93,,neutral,Female,65.668,71.158
0,94,,neutral,Female,76.381,77.983
0,95,,anger,Female,37.936,39.161
0,96,,happiness,Female,44.882,53.53
0,97,,disgust,Female,35.149,46.825
0,98,,happiness,Female,78.15,86.148
0,99,,happiness,Female,77.004,81.944
