,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,,neutral,Male,42.35,42.798
0,1,,neutral,Male,44.751,54.474
0,2,,happiness,Male,64.936,70.953
0,3,,happiness,Male,48.016,48.621
0,4,,happiness,Male,55.203,57.822
0,5,,neutral,Male,58.332,59.304
0,6,,sadness,Male,57.197,57.526
0,7,,surprise,Male,61.508,61.605
0,8,,anger,Male,43.198,49.154
0,9,,fear,Male,63.293,64.547
0,10,,neutral,Male,55.493,60.123
0,11,,anger,Male,70.194,78.199
0,12,,neutral,Male,69.425,71.223
0,13,,happiness,Male,74.219,82.533
0,14,,happiness,Male,67.927,68.93
0,15,,neutral,Male,65.743,65.714
0,16,,neutral,Male,75.627,83.445
0,17,,happiness,Male,80.999,86.536
0,18,,neutral,Male,65.128,67.304
0,19,,happiness,Male,55.311,58.4
0,20,,neutral,Male,58.577,66.993
0,21,,sadness,Male,48.651,54.247
0,22,,happiness,Male,52.684,68.569
0,23,,neutral,Female,81.855,86.353
0,24,,neutral,Male,76.997,77.705
0,25,,neutral,Male,48.65,47.0
0,26,,happiness,Male,64.554,66.607
0,27,,anger,Male,33.193,34.936
0,28,,happiness,Male,35.913,46.602
0,29,,happiness,Male,63.976,63.544
0,30,,happiness,Male,84.769,90.544
0,31,,anger,Male,53.951,60.113
0,32,,neutral,Male,58.428,55.975
0,33,,neutral,Male,68.459,73.164
0,34,,happiness,Male,69.517,71.595
0,35,,neutral,Male,54.73,58.357
0,36,,happiness,Male,48.433,54.391
0,37,,neutral,Male,84.465,86.742
0,38,,happiness,Male,47.963,49.451
0,39,,happiness,Male,78.386,83.654
0,40,,neutral,Male,62.798,62.552
0,41,,neutral,Male,81.496,81.981
0,42,,neutral,Male,61.452,64.093
0,43,,happiness,Male,54.564,67.077
0,44,,happiness,Male,59.788,68.813
0,45,,neutral,Male,79.493,83.192
0,46,,happiness,Male,64.361,69.34
0,47,,neutral,Male,42.745,47.115
0,48,,sadness,Male,78.273,77.284
0,49,,happiness,Male,64.405,69.612
0,50,,neutral,Male,33.008,40.005
0,51,,neutral,Male,86.077,89.726
0,52,,neutral,Male,63.968,68.767
0,53,,neutral,Male,40.816,45.634
0,54,,happiness,Male,63.725,66.653
0,55,,happiness,Male,45.341,45.82
0,56,,neutral,Male,58.216,64.577
0,57,,neutral,Male,56.688,63.503
0,58,,neutral,Male,62.45,65.284
0,59,,neutral,Male,62.291,64.609
0,60,,happiness,Male,41.488,45.171
0,61,,happiness,Male,41.25,51.244
0,62,,neutral,Male,78.608,88.46
0,63,,happiness,Male,65.408,69.429
0,64,,neutral,Male,66.814,65.98
0,65,,happiness,Male,37.651,47.72
0,66,,happiness,Male,64.594,67.069
0,67,,neutral,Male,70.486,70.418
0,68,,disgust,Male,46.42,56.101
0,69,,neutral,Male,70.748,75.317
0,70,,happiness,Male,62.815,64.597
0,71,,sadness,Male,46.969,47.618
0,72,,neutral,Male,67.716,67.637
0,73,,happiness,Male,43.04,51.776
0,74,,neutral,Male,81.033,83.048
0,75,,neutral,Male,60.034,61.215
0,76,,neutral,Male,86.127,85.77
0,77,,neutral,Male,65.34,74.771
0,78,,happiness,Male,59.367,60.168
0,79,,sadness,Male,70.853,66.415
0,80,,neutral,Male,66.166,69.413
0,81,,neutral,Male,74.149,76.406
0,82,,neutral,Male,56.736,61.513
0,83,,happiness,Male,54.254,58.109
0,84,,happiness,Male,59.405,65.888
0,85,,sadness,Male,77.755,77.643
0,86,,neutral,Male,85.672,87.393
0,87,,neutral,Male,71.679,73.996
0,88,,neutral,Male,77.39,81.395
0,89,,happiness,Male,75.5,80.081
0,90,,happiness,Male,81.645,84.696
0,91,,neutral,Male,26.375,27.527
0,92,,neutral,Male,73.262,76.319
0,93,,neutral,Male,56.536,58.888
0,94,,happiness,Male,70.999,70.912
0,95,,happiness,Male,72.763,84.675
0,96,,neutral,Male,77.629,83.245
0,97,,sadness,Male,80.266,83.395
0,98,,happiness,Male,44.659,53.003
0,99,,neutral,Male,55.304,54.408
