,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,N/A,neutral,Female,73.451,72.653
0,1,N/A,happiness,Female,62.506,66.797
0,2,N/A,neutral,Female,39.738,39.354
0,3,N/A,happiness,Female,44.664,40.493
0,4,N/A,happiness,Female,43.506,44.894
0,5,N/A,neutral,Female,59.024,51.612
0,6,N/A,sadness,Male,57.849,58.735
0,7,N/A,happiness,Female,51.604,51.034
0,8,N/A,happiness,Female,56.815,58.992
0,9,N/A,neutral,Male,64.912,69.803
0,10,N/A,anger,Female,39.605,39.317
0,11,N/A,neutral,Female,55.937,52.557
0,12,N/A,neutral,Female,51.102,56.93
0,13,N/A,happiness,Female,61.469,64.235
0,14,N/A,happiness,Female,42.263,42.444
0,15,N/A,happiness,Male,61.247,63.295
0,16,N/A,neutral,Male,56.178,59.634
0,17,N/A,surprise,Female,63.386,64.686
0,18,N/A,neutral,Female,58.743,62.198
0,19,N/A,happiness,Female,56.302,53.637
0,20,N/A,happiness,Female,57.143,63.039
0,21,N/A,happiness,Female,42.263,42.444
0,22,N/A,neutral,Female,37.862,41.267
0,23,N/A,happiness,Female,52.774,50.536
0,24,N/A,neutral,Female,56.343,61.679
0,25,N/A,neutral,Female,25.816,34.823
0,26,N/A,happiness,Female,65.651,65.501
0,27,N/A,neutral,Female,54.753,53.953
0,28,N/A,happiness,Female,51.451,51.324
0,29,N/A,happiness,Female,44.323,52.394
0,30,N/A,sadness,Female,32.122,34.254
0,31,N/A,neutral,Female,50.696,46.542
0,32,N/A,surprise,Male,51.582,53.142
0,33,N/A,happiness,Female,73.592,75.394
0,34,N/A,neutral,Female,74.206,77.332
0,35,N/A,sadness,Female,71.898,73.636
0,36,N/A,sadness,Male,57.051,58.142
0,37,N/A,neutral,Male,67.064,67.283
0,38,N/A,happiness,Female,50.679,53.579
0,39,N/A,happiness,Female,53.1,58.249
0,40,N/A,neutral,Female,57.161,55.18
0,41,N/A,neutral,Female,45.777,43.991
0,42,N/A,sadness,Male,26.556,35.544
0,43,N/A,happiness,Female,49.785,49.942
0,44,N/A,neutral,Female,46.858,52.016
0,45,N/A,sadness,Female,46.01,48.497
0,46,N/A,neutral,Male,55.061,54.141
0,47,N/A,sadness,Female,47.056,48.86
0,48,N/A,neutral,Female,65.841,66.684
0,49,N/A,sadness,Female,44.222,44.3
0,50,N/A,sadness,Female,54.032,61.218
0,51,N/A,neutral,Female,54.419,57.082
0,52,N/A,happiness,Male,60.15,62.66
0,53,N/A,happiness,Female,59.71,61.273
0,54,N/A,neutral,Female,45.859,44.157
0,55,N/A,disgust,Male,47.215,46.988
0,56,N/A,happiness,Female,52.048,50.031
0,57,N/A,neutral,Female,37.815,45.306
0,58,N/A,neutral,Female,45.859,44.157
0,59,N/A,neutral,Female,79.229,81.064
0,60,N/A,sadness,Male,53.767,52.498
0,61,N/A,happiness,Female,46.346,40.522
0,62,N/A,neutral,Female,79.229,81.064
0,63,N/A,happiness,Female,58.952,63.791
0,64,N/A,sadness,Female,55.208,54.379
0,65,N/A,neutral,Female,35.983,36.193
0,66,N/A,neutral,Male,57.608,54.245
0,67,N/A,anger,Male,44.513,49.864
0,68,N/A,happiness,Female,63.431,66.567
0,69,N/A,happiness,Female,71.215,73.993
0,70,N/A,happiness,Female,59.531,56.361
0,71,N/A,happiness,Female,46.309,39.74
0,72,N/A,happiness,Female,33.311,40.82
0,73,N/A,happiness,Female,42.134,43.433
0,74,N/A,happiness,Female,33.311,40.82
0,75,N/A,disgust,Female,41.763,38.417
0,76,N/A,fear,Female,22.573,36.651
0,77,N/A,happiness,Female,60.071,64.376
0,78,N/A,happiness,Female,79.272,78.353
0,79,N/A,happiness,Female,50.979,53.317
0,80,N/A,neutral,Female,77.242,74.243
0,81,N/A,happiness,Female,38.095,40.131
0,82,N/A,anger,Female,42.875,46.675
0,83,N/A,sadness,Male,56.299,56.434
0,84,N/A,neutral,Male,62.61,56.709
0,85,N/A,happiness,Female,52.399,56.011
0,86,N/A,sadness,Female,69.846,73.81
0,87,N/A,happiness,Male,65.835,67.885
0,88,N/A,happiness,Male,65.835,67.885
0,89,N/A,sadness,Female,65.221,68.044
0,90,N/A,surprise,Male,51.866,54.906
0,91,N/A,neutral,Female,58.727,58.406
0,92,N/A,neutral,Male,52.91,50.807
0,93,N/A,N/A,N/A,N/A,N/A
0,94,N/A,neutral,Female,35.542,34.684
0,95,N/A,happiness,Female,46.24,40.936
0,96,N/A,happiness,Female,48.664,48.639
0,97,N/A,sadness,Female,56.243,56.327
0,98,N/A,N/A,N/A,N/A,N/A
0,99,N/A,sadness,Female,49.542,52.003
