,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,N/A,happiness,Male,25.468,32.654
0,1,N/A,happiness,Female,44.685,48.763
0,2,N/A,neutral,Female,52.229,53.462
0,3,N/A,disgust,Female,40.082,41.603
0,4,N/A,happiness,Female,61.688,58.178
0,5,N/A,happiness,Female,38.215,38.508
0,6,N/A,surprise,Male,60.057,61.004
0,7,N/A,happiness,Female,64.07,60.141
0,8,N/A,anger,Female,48.745,47.252
0,9,N/A,happiness,Female,44.008,46.103
0,10,N/A,neutral,Female,53.076,54.937
0,11,N/A,happiness,Female,58.208,58.772
0,12,N/A,happiness,Female,58.632,64.363
0,13,N/A,happiness,Female,59.004,61.643
0,14,N/A,happiness,Female,47.775,51.3
0,15,N/A,neutral,Female,56.227,54.814
0,16,N/A,happiness,Male,37.802,40.857
0,17,N/A,neutral,Female,57.446,58.234
0,18,N/A,neutral,Female,53.076,54.937
0,19,N/A,happiness,Female,50.933,56.512
0,20,N/A,happiness,Female,48.97,48.414
0,21,N/A,happiness,Female,46.003,49.419
0,22,N/A,neutral,Female,50.239,51.851
0,23,N/A,happiness,Male,37.802,40.857
0,24,N/A,neutral,Female,47.326,49.635
0,25,N/A,happiness,Female,40.694,45.788
0,26,N/A,happiness,Female,50.605,48.292
0,27,N/A,neutral,Female,58.389,55.573
0,28,N/A,happiness,Female,19.284,27.574
0,29,N/A,neutral,Male,39.34,37.943
0,30,N/A,happiness,Female,46.623,51.269
0,31,N/A,neutral,Female,45.938,51.246
0,32,N/A,happiness,Female,54.47,52.461
0,33,N/A,happiness,Female,59.132,62.434
0,34,N/A,sadness,Male,65.689,67.807
0,35,N/A,neutral,Female,48.692,52.675
0,36,N/A,happiness,Female,55.996,61.904
0,37,N/A,disgust,Female,68.702,68.837
0,38,N/A,happiness,Female,36.88,36.363
0,39,N/A,neutral,Female,59.297,56.51
0,40,N/A,happiness,Male,51.71,53.399
0,41,N/A,happiness,Female,21.155,29.076
0,42,N/A,happiness,Female,72.381,75.629
0,43,N/A,sadness,Female,52.852,47.279
0,44,N/A,happiness,Female,52.528,54.035
0,45,N/A,happiness,Female,50.832,51.647
0,46,N/A,happiness,Female,43.175,47.693
0,47,N/A,happiness,Female,42.253,40.949
0,48,N/A,happiness,Female,56.446,59.568
0,49,N/A,neutral,Female,32.023,39.51
0,50,N/A,fear,Female,74.387,76.807
0,51,N/A,happiness,Female,56.97,53.035
0,52,N/A,neutral,Female,50.667,50.522
0,53,N/A,happiness,Female,45.479,47.596
0,54,N/A,happiness,Female,56.021,55.311
0,55,N/A,happiness,Female,58.51,59.816
0,56,N/A,happiness,Female,61.844,66.766
0,57,N/A,happiness,Female,37.316,35.43
0,58,N/A,sadness,Female,61.644,59.534
0,59,N/A,happiness,Female,58.51,59.816
0,60,N/A,happiness,Female,46.775,43.835
0,61,N/A,sadness,Female,61.644,59.534
0,62,N/A,N/A,N/A,N/A,N/A
0,63,N/A,happiness,Female,38.278,37.203
0,64,N/A,happiness,Female,44.699,41.596
0,65,N/A,happiness,Female,30.444,31.016
0,66,N/A,sadness,Female,29.851,34.049
0,67,N/A,neutral,Female,56.568,56.531
0,68,N/A,happiness,Female,58.481,57.797
0,69,N/A,happiness,Female,25.411,27.842
0,70,N/A,neutral,Female,67.118,69.254
0,71,N/A,neutral,Male,70.109,71.012
0,72,N/A,happiness,Male,42.327,49.894
0,73,N/A,neutral,Female,59.93,61.325
0,74,N/A,fear,Female,63.303,61.336
0,75,N/A,happiness,Female,48.649,49.342
0,76,N/A,neutral,Male,47.619,45.94
0,77,N/A,happiness,Female,48.649,49.342
0,78,N/A,sadness,Female,38.097,40.368
0,79,N/A,fear,Female,64.485,66.053
0,80,N/A,happiness,Female,38.836,40.877
0,81,N/A,happiness,Female,34.89,37.875
0,82,N/A,happiness,Female,49.736,50.701
0,83,N/A,anger,Female,64.264,67.566
0,84,N/A,anger,Female,64.264,67.566
0,85,N/A,happiness,Female,52.437,52.147
0,86,N/A,neutral,Female,66.661,63.07
0,87,N/A,neutral,Female,40.788,45.512
0,88,N/A,happiness,Female,52.252,55.036
0,89,N/A,happiness,Female,52.252,55.036
0,90,N/A,happiness,Female,66.05,68.276
0,91,N/A,N/A,N/A,N/A,N/A
0,92,N/A,happiness,Female,62.84,60.246
0,93,N/A,happiness,Female,51.674,51.129
0,94,N/A,sadness,Female,69.089,66.727
0,95,N/A,neutral,Female,54.755,55.129
0,96,N/A,disgust,Female,44.971,41.88
0,97,N/A,sadness,Female,44.425,49.818
0,98,N/A,fear,Female,57.664,60.297
0,99,N/A,happiness,Female,52.736,47.832
