,id,predicted_gender
0,0,male
0,2,male
0,3,female
0,4,male
0,5,male
0,6,male
0,8,male
0,9,male
0,10,male
0,11,male
0,15,male
0,16,female
0,17,male
0,20,female
0,21,female
0,22,male
0,23,male
0,24,male
0,25,male
0,27,male
0,28,male
0,29,male
0,30,male
0,31,male
0,32,male
0,33,male
0,34,female
0,35,male
0,36,male
0,37,male
0,38,male
0,39,male
0,40,male
0,41,male
0,42,male
0,45,male
0,46,male
0,47,female
0,48,male
0,50,male
0,52,female
0,54,male
0,55,male
0,56,female
0,58,male
0,59,male
0,60,male
0,63,male
0,64,male
0,66,male
0,67,male
0,68,male
0,69,male
0,70,male
0,71,male
0,73,male
0,74,male
0,76,male
0,77,female
0,78,male
0,79,female
0,80,female
0,81,male
0,82,male
0,83,male
0,84,male
0,85,female
0,87,male
0,88,male
0,90,male
0,91,male
0,93,female
0,94,male
0,95,female
0,96,male
0,97,male
0,98,male
0,99,female
