,id,predicted_gender
0,0,male
0,1,male
0,2,male
0,3,male
0,4,male
0,5,male
0,6,male
0,7,male
0,8,male
0,9,male
0,10,male
0,11,male
0,12,male
0,13,male
0,14,male
0,15,male
0,16,male
0,17,male
0,18,male
0,20,male
0,21,male
0,22,male
0,23,male
0,24,male
0,25,male
0,26,male
0,27,male
0,28,male
0,29,male
0,30,male
0,31,male
0,32,male
0,33,male
0,34,male
0,35,male
0,36,male
0,37,male
0,38,male
0,39,male
0,40,male
0,41,male
0,42,male
0,43,male
0,45,male
0,46,male
0,47,male
0,48,male
0,49,male
0,50,male
0,51,male
0,52,male
0,53,male
0,54,male
0,55,male
0,56,male
0,57,male
0,58,female
0,59,male
0,60,male
0,61,female
0,62,male
0,63,male
0,64,male
0,65,male
0,66,male
0,67,female
0,68,male
0,69,male
0,70,male
0,71,male
0,72,male
0,73,male
0,74,male
0,75,male
0,76,male
0,79,male
0,80,male
0,81,male
0,82,male
0,83,male
0,84,male
0,85,male
0,87,male
0,88,male
0,89,male
0,90,male
0,91,male
0,92,male
0,94,male
0,95,male
0,96,male
0,97,male
0,98,male
0,99,male
