,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,N/A,neutral,Female,50.273,49.869
0,1,N/A,happiness,Female,37.068,37.879
0,2,N/A,neutral,Male,39.304,40.682
0,3,N/A,neutral,Male,49.47,52.572
0,4,N/A,neutral,Female,49.433,53.616
0,5,N/A,neutral,Male,58.507,55.395
0,6,N/A,neutral,Female,36.19,36.652
0,7,N/A,neutral,Female,49.164,48.601
0,8,N/A,neutral,Female,57.841,57.658
0,9,N/A,neutral,Female,38.123,40.173
0,10,N/A,disgust,Female,44.366,44.711
0,11,N/A,happiness,Female,36.398,42.378
0,12,N/A,fear,Male,62.923,58.555
0,13,N/A,neutral,Female,59.041,55.498
0,14,N/A,anger,Female,47.245,48.046
0,15,N/A,neutral,Female,63.412,63.874
0,16,N/A,neutral,Male,64.386,67.361
0,17,N/A,happiness,Female,44.968,49.438
0,18,N/A,happiness,Female,53.623,53.311
0,19,N/A,fear,Male,50.604,54.024
0,20,N/A,anger,Female,36.099,31.824
0,21,N/A,happiness,Female,45.494,53.196
0,22,N/A,sadness,Male,47.963,57.815
0,23,N/A,neutral,Female,49.052,51.636
0,24,N/A,neutral,Male,38.319,42.027
0,25,N/A,neutral,Female,48.792,47.205
0,26,N/A,neutral,Female,27.6,25.033
0,27,N/A,neutral,Male,71.111,70.113
0,28,N/A,neutral,Male,57.629,53.077
0,29,N/A,neutral,Female,41.881,38.639
0,30,N/A,happiness,Female,53.232,52.454
0,31,N/A,neutral,Male,48.132,51.071
0,32,N/A,anger,Male,57.598,57.023
0,33,N/A,neutral,Male,55.092,53.384
0,34,N/A,happiness,Male,69.852,66.738
0,35,N/A,surprise,Male,42.607,40.706
0,36,N/A,happiness,Female,53.232,52.454
0,37,N/A,neutral,Male,43.545,44.754
0,38,N/A,neutral,Male,52.985,53.329
0,39,N/A,happiness,Male,49.081,51.047
0,40,N/A,neutral,Male,69.744,66.977
0,41,N/A,neutral,Male,71.777,73.853
0,42,N/A,neutral,Female,57.315,60.959
0,43,N/A,neutral,Male,58.331,56.071
0,44,N/A,neutral,Female,64.512,64.814
0,45,N/A,sadness,Female,45.426,43.74
0,46,N/A,anger,Male,57.393,61.738
0,47,N/A,neutral,Male,40.585,42.938
0,48,N/A,neutral,Male,58.331,56.071
0,49,N/A,happiness,Female,44.532,50.164
0,50,N/A,neutral,Male,40.923,39.419
0,51,N/A,anger,Male,28.13,30.761
0,52,N/A,neutral,Male,38.535,45.064
0,53,N/A,sadness,Female,36.579,36.249
0,54,N/A,neutral,Male,41.906,38.903
0,55,N/A,neutral,Male,47.631,46.211
0,56,N/A,neutral,Female,55.208,52.212
0,57,N/A,neutral,Male,46.814,46.126
0,58,N/A,neutral,Male,47.925,51.681
0,59,N/A,neutral,Male,61.744,60.789
0,60,N/A,happiness,Female,48.559,46.406
0,61,N/A,neutral,Female,46.136,43.225
0,62,N/A,sadness,Male,47.627,48.723
0,63,N/A,sadness,Female,33.467,34.008
0,64,N/A,sadness,Male,40.521,41.516
0,65,N/A,disgust,Female,38.184,46.854
0,66,N/A,neutral,Female,35.035,37.718
0,67,N/A,happiness,Male,44.56,46.091
0,68,N/A,happiness,Female,42.775,52.377
0,69,N/A,anger,Male,62.714,62.347
0,70,N/A,neutral,Male,39.029,42.854
0,71,N/A,anger,Male,62.714,62.347
0,72,N/A,happiness,Female,46.054,46.27
0,73,N/A,anger,Female,36.499,37.323
0,74,N/A,happiness,Female,46.054,46.27
0,75,N/A,neutral,Male,39.348,39.938
0,76,N/A,happiness,Female,44.739,51.501
0,77,N/A,neutral,Female,54.263,51.131
0,78,N/A,sadness,Male,46.668,44.93
0,79,N/A,neutral,Female,41.767,34.459
0,80,N/A,happiness,Female,38.029,41.609
0,81,N/A,neutral,Female,23.375,25.407
0,82,N/A,disgust,Female,67.177,69.434
0,83,N/A,disgust,Female,44.149,53.425
0,84,N/A,neutral,Female,56.92,57.675
0,85,N/A,happiness,Female,46.691,50.888
0,86,N/A,neutral,Male,47.78,44.378
0,87,N/A,fear,Male,55.45,56.591
0,88,N/A,neutral,Male,65.541,60.925
0,89,N/A,sadness,Female,41.284,38.61
0,90,N/A,happiness,Female,27.568,34.667
0,91,N/A,neutral,Male,54.138,54.478
0,92,N/A,happiness,Female,40.556,39.375
0,93,N/A,happiness,Female,62.049,66.072
0,94,N/A,neutral,Female,40.587,45.631
0,95,N/A,neutral,Male,75.021,73.769
0,96,N/A,anger,Male,63.577,66.0
0,97,N/A,happiness,Female,55.576,53.921
0,98,N/A,neutral,Male,54.219,54.461
0,99,N/A,neutral,Male,55.558,57.267
