,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,N/A,anger,Male,50.812,49.35
0,1,N/A,neutral,Male,45.266,44.661
0,2,N/A,neutral,Male,60.424,62.852
0,3,N/A,happiness,Male,64.205,64.414
0,4,N/A,neutral,Male,59.666,60.37
0,5,N/A,fear,Male,70.524,65.56
0,6,N/A,anger,Male,55.92,57.152
0,7,N/A,sadness,Male,41.959,49.258
0,8,N/A,neutral,Male,61.163,64.738
0,9,N/A,neutral,Male,66.25,70.683
0,10,N/A,neutral,Male,52.859,53.856
0,11,N/A,Male,happiness,53.743,48.907
0,12,N/A,neutral,Male,50.859,52.917
0,13,N/A,neutral,Male,47.074,46.258
0,14,N/A,neutral,Male,50.785,53.226
0,15,N/A,neutral,Male,65.409,65.498
0,16,N/A,neutral,Male,52.126,54.461
0,17,N/A,neutral,Male,54.715,57.707
0,18,N/A,neutral,Male,66.042,64.208
0,19,N/A,disgust,Male,71.795,72.167
0,20,N/A,anger,Male,40.26,47.58
0,21,N/A,neutral,Female,47.868,48.126
0,22,N/A,anger,Female,42.37,40.428
0,23,N/A,neutral,Male,64.553,62.224
0,24,N/A,neutral,Male,59.63,60.222
0,25,N/A,happiness,Male,58.486,55.193
0,26,N/A,neutral,Male,68.578,71.473
0,27,N/A,neutral,Male,44.157,45.255
0,28,N/A,neutral,Male,59.867,64.539
0,29,N/A,neutral,Male,81.981,85.854
0,30,N/A,neutral,Male,77.993,78.308
0,31,N/A,happiness,Female,29.451,30.013
0,32,N/A,neutral,Male,49.412,56.73
0,33,N/A,neutral,Male,57.895,59.803
0,34,N/A,anger,Male,46.829,45.817
0,35,N/A,neutral,Male,46.544,45.663
0,36,N/A,happiness,Female,68.694,62.814
0,37,N/A,surprise,Male,56.013,55.775
0,38,N/A,neutral,Male,51.531,52.782
0,39,N/A,neutral,Male,40.168,43.094
0,40,N/A,neutral,Male,82.234,81.966
0,41,N/A,sadness,Male,61.064,60.815
0,42,N/A,neutral,Male,35.6,37.671
0,43,N/A,happiness,Male,64.307,64.629
0,44,N/A,neutral,Male,45.211,45.684
0,45,N/A,anger,Male,57.407,57.187
0,46,N/A,neutral,Male,56.762,56.52
0,47,N/A,anger,Male,52.17,44.306
0,48,N/A,anger,Male,49.488,53.007
0,49,N/A,neutral,Female,52.039,51.598
0,50,N/A,neutral,Male,58.486,54.31
0,51,N/A,fear,Male,31.446,35.941
0,52,N/A,fear,Female,60.617,63.202
0,53,N/A,neutral,Male,68.183,68.128
0,54,N/A,neutral,Male,66.192,66.196
0,55,N/A,neutral,Male,48.543,46.983
0,56,N/A,neutral,Male,60.317,53.522
0,57,N/A,neutral,Male,39.803,39.22
0,58,N/A,neutral,Male,44.408,41.626
0,59,N/A,happiness,Male,55.998,62.297
0,60,N/A,neutral,Male,68.876,69.845
0,61,N/A,neutral,Male,54.54,56.222
0,62,N/A,neutral,Male,45.259,41.389
0,63,N/A,neutral,Male,43.964,39.811
0,64,N/A,neutral,Male,54.901,56.248
0,65,N/A,happiness,Male,49.501,47.662
0,66,N/A,happiness,Male,68.057,70.791
0,67,N/A,neutral,Male,50.748,52.744
0,68,N/A,happiness,Male,50.581,53.038
0,69,N/A,happiness,Male,33.726,40.783
0,70,N/A,sadness,Male,43.377,43.832
0,71,N/A,neutral,Male,60.196,59.78
0,72,N/A,neutral,Male,58.9,62.834
0,73,N/A,happiness,Male,41.79,47.191
0,74,N/A,happiness,Male,40.583,49.033
0,75,N/A,N/A,N/A,N/A,N/A
0,76,N/A,neutral,Male,59.207,64.162
0,77,N/A,neutral,Male,45.727,42.958
0,78,N/A,happiness,Male,68.845,70.744
0,79,N/A,happiness,Male,39.187,38.497
0,80,N/A,happiness,Female,63.51,62.689
0,81,N/A,neutral,Male,67.122,60.753
0,82,N/A,neutral,Male,60.109,58.995
0,83,N/A,sadness,Male,52.435,55.691
0,84,N/A,neutral,Male,39.782,44.948
0,85,N/A,neutral,Male,63.674,66.403
0,86,N/A,neutral,Male,63.409,63.681
0,87,N/A,surprise,Male,49.743,54.071
0,88,N/A,anger,Male,59.069,57.609
0,89,N/A,happiness,Male,61.725,59.456
0,90,N/A,neutral,Male,57.084,62.945
0,91,N/A,neutral,Male,52.428,52.712
0,92,N/A,happiness,Male,53.405,56.85
0,93,N/A,neutral,Male,32.143,33.395
0,94,N/A,neutral,Male,51.077,53.793
0,95,N/A,happiness,Male,43.526,44.211
0,96,N/A,neutral,Male,61.312,66.774
0,97,N/A,neutral,Male,62.135,61.329
0,98,N/A,sadness,Male,63.702,67.189
0,99,N/A,happiness,Male,45.869,46.357
