,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,N/A,happiness,Female,33.667,39.259
0,1,N/A,neutral,Female,43.155,38.469
0,2,N/A,neutral,Female,42.441,38.612
0,3,N/A,happiness,Male,57.093,57.404
0,4,N/A,sadness,Male,59.549,57.592
0,5,N/A,neutral,Male,35.543,39.072
0,6,N/A,happiness,Male,42.081,47.668
0,7,N/A,happiness,Female,51.14,52.967
0,8,N/A,neutral,Female,51.947,51.34
0,9,N/A,happiness,Female,51.079,51.794
0,10,N/A,happiness,Female,24.814,32.93
0,11,N/A,happiness,Male,57.093,57.404
0,12,N/A,neutral,Female,42.441,38.612
0,13,N/A,neutral,Male,35.543,39.072
0,14,N/A,happiness,Female,63.592,66.387
0,15,N/A,happiness,Female,51.14,52.967
0,16,N/A,anger,Male,35.505,34.486
0,17,N/A,happiness,Female,49.998,50.574
0,18,N/A,disgust,Female,53.954,43.796
0,19,N/A,N/A,N/A,N/A,N/A
0,20,N/A,N/A,N/A,N/A,N/A
0,21,N/A,happiness,Female,63.592,66.387
0,22,N/A,happiness,Female,67.474,72.478
0,23,N/A,neutral,Male,34.673,38.331
0,24,N/A,sadness,Female,50.135,49.394
0,25,N/A,neutral,Male,42.672,46.189
0,26,N/A,sadness,Female,33.42,35.935
0,27,N/A,sadness,Female,47.602,49.678
0,28,N/A,happiness,Female,45.472,45.103
0,29,N/A,happiness,Female,49.196,54.889
0,30,N/A,neutral,Male,50.898,49.495
0,31,N/A,anger,Female,31.905,41.603
0,32,N/A,surprise,Female,51.559,47.278
0,33,N/A,neutral,Female,47.75,44.251
0,34,N/A,happiness,Female,37.402,46.311
0,35,N/A,neutral,Female,38.339,43.841
0,36,N/A,fear,Female,56.188,56.652
0,37,N/A,happiness,Female,46.239,49.494
0,38,N/A,neutral,Male,56.298,56.58
0,39,N/A,happiness,Female,48.571,50.003
0,40,N/A,happiness,Female,69.742,71.403
0,41,N/A,surprise,Male,60.156,57.386
0,42,N/A,happiness,Female,46.239,49.494
0,43,N/A,disgust,Female,31.366,36.939
0,44,N/A,sadness,Female,37.442,43.617
0,45,N/A,neutral,Female,38.77,42.993
0,46,N/A,surprise,Male,60.156,57.386
0,47,N/A,N/A,N/A,N/A,N/A
0,48,N/A,neutral,Male,52.646,53.707
0,49,N/A,sadness,Female,37.442,43.617
0,50,N/A,surprise,Male,58.536,56.633
0,51,N/A,neutral,Female,38.137,36.317
0,52,N/A,neutral,Female,42.877,45.868
0,53,N/A,neutral,Male,54.668,53.441
0,54,N/A,happiness,Male,44.205,49.993
0,55,N/A,neutral,Female,52.424,59.938
0,56,N/A,fear,Female,60.979,61.523
0,57,N/A,neutral,Male,54.668,53.441
0,58,N/A,neutral,Female,40.09,48.006
0,59,N/A,neutral,Male,57.561,53.176
0,60,N/A,N/A,N/A,N/A,N/A
0,61,N/A,happiness,Female,55.313,57.399
0,62,N/A,happiness,Female,49.438,48.067
0,63,N/A,surprise,Female,40.033,39.677
0,64,N/A,happiness,Female,46.303,44.259
0,65,N/A,disgust,Female,36.421,37.256
0,66,N/A,neutral,Female,48.751,48.645
0,67,N/A,happiness,Female,36.534,42.123
0,68,N/A,disgust,Female,36.421,37.256
0,69,N/A,happiness,Female,47.38,50.079
0,70,N/A,happiness,Female,36.129,45.194
0,71,N/A,neutral,Female,65.906,67.108
0,72,N/A,anger,Female,35.66,36.886
0,73,N/A,happiness,Female,50.527,50.835
0,74,N/A,sadness,Female,39.181,39.945
0,75,N/A,anger,Female,34.882,36.492
0,76,N/A,sadness,Female,51.737,53.494
0,77,N/A,happiness,Female,53.568,55.222
0,78,N/A,neutral,Female,53.219,49.004
0,79,N/A,happiness,Female,49.931,53.151
0,80,N/A,happiness,Female,52.577,51.926
0,81,N/A,disgust,Female,26.34,29.911
0,82,N/A,sadness,Male,44.415,49.525
0,83,N/A,neutral,Male,57.244,58.106
0,84,N/A,disgust,Female,44.341,43.736
0,85,N/A,happiness,Female,52.567,54.607
0,86,N/A,happiness,Female,50.226,58.124
0,87,N/A,happiness,Female,50.226,58.124
0,88,N/A,sadness,Male,60.22,59.596
0,89,N/A,anger,Female,54.398,54.961
0,90,N/A,happiness,Male,34.729,36.917
0,91,N/A,neutral,Female,42.784,40.606
0,92,N/A,happiness,Female,65.077,64.915
0,93,N/A,neutral,Female,47.31,45.924
0,94,N/A,neutral,Male,41.622,44.046
0,95,N/A,neutral,Male,57.329,56.379
0,96,N/A,happiness,Female,22.689,31.029
0,97,N/A,happiness,Female,41.247,44.44
0,98,N/A,disgust,Male,45.833,53.28
0,99,N/A,neutral,Female,62.258,64.355
