,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,N/A,surprise,Male,61.027,60.608
0,1,N/A,happiness,Female,68.559,62.436
0,2,N/A,neutral,Male,62.701,61.036
0,3,N/A,happiness,Male,53.743,48.907
0,4,N/A,neutral,Male,47.382,46.8
0,5,N/A,neutral,Male,61.747,59.754
0,6,N/A,happiness,Male,81.848,82.279
0,7,N/A,neutral,Male,62.822,66.948
0,8,N/A,anger,Male,59.516,57.214
0,9,N/A,neutral,Male,50.54,52.109
0,10,N/A,neutral,Male,38.77,39.807
0,11,N/A,neutral,Male,57.349,54.443
0,12,N/A,anger,Male,51.226,52.85
0,13,N/A,neutral,Male,55.811,56.681
0,14,N/A,happiness,Male,81.848,82.279
0,15,N/A,anger,Male,43.045,47.376
0,16,N/A,neutral,Male,49.886,44.699
0,17,N/A,happiness,Male,60.741,60.189
0,18,N/A,happiness,Male,58.486,55.193
0,19,N/A,neutral,Male,43.114,47.54
0,20,N/A,neutral,Male,55.811,56.681
0,21,N/A,happiness,Male,32.904,35.772
0,22,N/A,happiness,Female,53.88,53.683
0,23,N/A,anger,Male,50.061,44.322
0,24,N/A,neutral,Male,77.993,78.308
0,25,N/A,neutral,Male,44.248,47.948
0,26,N/A,happiness,Male,48.583,53.272
0,27,N/A,neutral,Male,52.941,56.305
0,28,N/A,anger,Male,41.958,42.072
0,29,N/A,happiness,Female,20.158,26.056
0,30,N/A,happiness,Female,68.694,62.814
0,31,N/A,neutral,Male,52.739,52.179
0,32,N/A,happiness,Male,71.929,74.794
0,33,N/A,neutral,Male,40.168,43.094
0,34,N/A,neutral,Male,61.183,63.634
0,35,N/A,happiness,Female,20.158,26.056
0,36,N/A,sadness,Male,61.064,60.815
0,37,N/A,neutral,Male,60.501,60.564
0,38,N/A,neutral,Female,51.572,51.516
0,39,N/A,anger,Male,42.627,42.165
0,40,N/A,neutral,Male,61.644,62.088
0,41,N/A,sadness,Male,62.58,63.939
0,42,N/A,neutral,Male,47.791,51.797
0,43,N/A,neutral,Male,80.074,76.158
0,44,N/A,neutral,Male,66.703,70.282
0,45,N/A,neutral,Male,61.747,59.754
0,46,N/A,neutral,Female,52.039,51.598
0,47,N/A,disgust,Male,31.446,35.941
0,48,N/A,fear,Female,60.617,63.202
0,49,N/A,neutral,Male,65.979,67.775
0,50,N/A,neutral,Male,53.438,56.241
0,51,N/A,neutral,Male,65.608,63.393
0,52,N/A,happiness,Male,65.174,64.22
0,53,N/A,neutral,Male,41.045,45.084
0,54,N/A,surprise,Male,66.377,68.148
0,55,N/A,happiness,Female,57.391,54.168
0,56,N/A,happiness,Female,42.748,48.251
0,57,N/A,neutral,Male,40.537,40.103
0,58,N/A,neutral,Male,87.863,83.635
0,59,N/A,happiness,Male,34.046,37.655
0,60,N/A,neutral,Male,43.964,39.811
0,61,N/A,neutral,Male,41.594,51.493
0,62,N/A,happiness,Female,59.072,56.746
0,63,N/A,sadness,Male,70.01,69.984
0,64,N/A,happiness,Male,74.752,74.697
0,65,N/A,fear,Male,59.112,58.444
0,66,N/A,neutral,Male,52.821,53.876
0,67,N/A,neutral,Male,31.749,32.759
0,68,N/A,neutral,Male,43.36,44.689
0,69,N/A,sadness,Male,42.602,41.712
0,70,N/A,neutral,Male,58.982,57.178
0,71,N/A,happiness,Male,41.79,47.191
0,72,N/A,neutral,Male,49.621,46.027
0,73,N/A,happiness,Male,41.79,47.191
0,74,N/A,neutral,Male,55.569,55.239
0,75,N/A,neutral,Male,48.719,54.206
0,76,N/A,happiness,Male,45.233,47.638
0,77,N/A,happiness,Male,54.597,52.99
0,78,N/A,sadness,Male,65.228,64.357
0,79,N/A,neutral,Female,34.467,28.629
0,80,N/A,sadness,Male,33.703,38.432
0,81,N/A,neutral,Male,53.188,51.339
0,82,N/A,neutral,Male,58.14,58.487
0,83,N/A,happiness,Male,76.185,77.283
0,84,N/A,neutral,Male,48.653,52.107
0,85,N/A,neutral,Male,61.441,63.473
0,86,N/A,neutral,Male,76.404,77.796
0,87,N/A,anger,Male,60.929,62.277
0,88,N/A,sadness,Male,33.096,37.318
0,89,N/A,neutral,Male,46.392,47.574
0,90,N/A,neutral,Male,36.06,38.618
0,91,N/A,happiness,Male,71.453,71.782
0,92,N/A,happiness,Male,60.2,55.034
0,93,N/A,neutral,Male,69.5,66.402
0,94,N/A,neutral,Male,45.118,44.103
0,95,N/A,N/A,N/A,N/A,N/A
0,96,N/A,neutral,Male,46.954,46.256
0,97,N/A,neutral,Male,55.315,58.444
0,98,N/A,anger,Male,53.35,50.949
0,99,N/A,happiness,Male,56.816,58.306
