,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,,happiness,Female,33.667,39.259
0,1,,neutral,Female,43.155,38.469
0,3,,sadness,Male,52.832,56.525
0,4,,neutral,Female,50.216,53.84
0,5,,happiness,Female,42.645,47.733
0,7,,neutral,Female,57.858,61.661
0,8,,happiness,Male,57.093,57.404
0,9,,sadness,Male,59.549,57.592
0,10,,neutral,Male,35.543,39.072
0,11,,happiness,Male,42.081,47.668
0,12,,happiness,Female,51.14,52.967
0,13,,neutral,Female,51.947,51.34
0,14,,happiness,Female,51.079,51.794
0,15,,happiness,Female,24.814,32.93
0,17,,neutral,Female,42.441,38.612
0,19,,happiness,Female,63.592,66.387
0,21,,anger,Male,35.505,34.486
0,22,,happiness,Female,49.998,50.574
0,23,,disgust,Female,53.954,43.796
0,27,,happiness,Female,67.474,72.478
0,28,,neutral,Male,34.673,38.331
0,29,,sadness,Female,50.135,49.394
0,30,,neutral,Male,42.672,46.189
0,31,,sadness,Female,33.42,35.935
0,32,,sadness,Female,47.602,49.678
0,33,,happiness,Female,45.472,45.103
0,34,,happiness,Female,49.196,54.889
0,35,,neutral,Male,50.898,49.495
0,36,,anger,Female,31.905,41.603
0,37,,surprise,Female,51.559,47.278
0,38,,neutral,Female,47.75,44.251
0,39,,happiness,Female,37.402,46.311
0,40,,neutral,Female,38.339,43.841
0,41,,fear,Female,56.188,56.652
0,42,,happiness,Female,46.239,49.494
0,43,,neutral,Male,56.298,56.58
0,44,,happiness,Female,48.571,50.003
0,45,,happiness,Female,69.742,71.403
0,46,,surprise,Male,60.156,57.386
0,48,,disgust,Female,31.366,36.939
0,49,,sadness,Female,37.442,43.617
0,50,,neutral,Female,38.77,42.993
0,53,,neutral,Male,52.646,53.707
0,55,,surprise,Male,58.536,56.633
0,56,,neutral,Female,38.137,36.317
0,57,,neutral,Female,42.877,45.868
0,58,,neutral,Male,54.668,53.441
0,59,,happiness,Male,44.205,49.993
0,60,,neutral,Female,52.424,59.938
0,61,,fear,Female,60.979,61.523
0,63,,neutral,Female,40.09,48.006
0,64,,neutral,Male,57.561,53.176
0,66,,happiness,Female,55.313,57.399
0,67,,happiness,Female,49.438,48.067
0,68,,surprise,Female,40.033,39.677
0,69,,happiness,Female,46.303,44.259
0,70,,disgust,Female,36.421,37.256
0,71,,neutral,Female,48.751,48.645
0,72,,happiness,Female,36.534,42.123
0,74,,happiness,Female,47.38,50.079
0,75,,happiness,Female,36.129,45.194
0,76,,neutral,Female,65.906,67.108
0,77,,anger,Female,35.66,36.886
0,78,,happiness,Female,50.527,50.835
0,79,,sadness,Female,39.181,39.945
0,80,,anger,Female,34.882,36.492
0,81,,sadness,Female,51.737,53.494
0,82,,happiness,Female,53.568,55.222
0,83,,neutral,Female,53.219,49.004
0,84,,happiness,Female,49.931,53.151
0,85,,happiness,Female,52.577,51.926
0,86,,disgust,Female,26.34,29.911
0,87,,sadness,Male,44.415,49.525
0,88,,neutral,Male,57.244,58.106
0,89,,disgust,Female,44.341,43.736
0,90,,happiness,Female,52.567,54.607
0,91,,happiness,Female,50.226,58.124
0,93,,sadness,Male,60.22,59.596
0,94,,anger,Female,54.398,54.961
0,95,,happiness,Male,34.729,36.917
0,96,,neutral,Female,42.784,40.606
0,97,,happiness,Female,65.077,64.915
0,98,,neutral,Female,47.31,45.924
0,99,,neutral,Male,41.622,44.046
0,100,,neutral,Male,57.329,56.379
0,101,,happiness,Female,22.689,31.029
0,102,,happiness,Female,41.247,44.44
0,103,,disgust,Male,45.833,53.28
0,104,,neutral,Female,62.258,64.355
