,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,,surprise,Male,61.027,60.608
0,1,,happiness,Female,68.559,62.436
0,2,,neutral,Male,62.701,61.036
0,3,,happiness,Female,41.529,50.086
0,5,,happiness,Male,49.266,53.869
0,6,,happiness,Male,84.895,87.01
0,7,,neutral,Male,45.915,52.203
0,8,,sadness,Male,35.901,37.647
0,9,,anger,Female,41.24,38.347
0,10,,neutral,Male,52.165,50.201
0,11,,neutral,Male,49.261,48.427
0,12,,neutral,Male,36.617,45.231
0,13,,happiness,Male,53.743,48.907
0,14,,happiness,Male,43.006,51.78
0,15,,neutral,Male,47.382,46.8
0,17,,happiness,Male,81.848,82.279
0,18,,neutral,Male,62.822,66.948
0,19,,anger,Male,59.516,57.214
0,20,,neutral,Male,50.54,52.109
0,21,,neutral,Male,38.77,39.807
0,22,,neutral,Male,57.349,54.443
0,23,,anger,Male,51.226,52.85
0,24,,neutral,Male,55.811,56.681
0,26,,anger,Male,43.045,47.376
0,27,,neutral,Male,49.886,44.699
0,28,,happiness,Male,60.741,60.189
0,29,,happiness,Male,58.486,55.193
0,30,,neutral,Male,43.114,47.54
0,32,,happiness,Male,32.904,35.772
0,33,,happiness,Female,53.88,53.683
0,34,,anger,Male,50.061,44.322
0,35,,neutral,Male,77.993,78.308
0,36,,neutral,Male,44.248,47.948
0,37,,happiness,Male,48.583,53.272
0,38,,neutral,Male,52.941,56.305
0,39,,anger,Male,41.958,42.072
0,40,,happiness,Female,20.158,26.056
0,41,,happiness,Female,68.694,62.814
0,42,,neutral,Male,52.739,52.179
0,43,,happiness,Male,71.929,74.794
0,44,,neutral,Male,40.168,43.094
0,45,,neutral,Male,61.183,63.634
0,47,,sadness,Male,61.064,60.815
0,48,,neutral,Male,60.501,60.564
0,49,,neutral,Female,51.572,51.516
0,50,,anger,Male,42.627,42.165
0,51,,neutral,Male,61.644,62.088
0,52,,sadness,Male,62.58,63.939
0,53,,neutral,Male,47.791,51.797
0,54,,neutral,Male,80.074,76.158
0,55,,neutral,Male,66.703,70.282
0,56,,neutral,Male,61.747,59.754
0,57,,neutral,Female,52.039,51.598
0,58,,disgust,Male,31.446,35.941
0,59,,fear,Female,60.617,63.202
0,60,,neutral,Male,65.979,67.775
0,61,,neutral,Male,53.438,56.241
0,62,,neutral,Male,65.608,63.393
0,63,,happiness,Male,65.174,64.22
0,64,,neutral,Male,41.045,45.084
0,65,,surprise,Male,66.377,68.148
0,66,,happiness,Female,57.391,54.168
0,67,,happiness,Female,42.748,48.251
0,68,,neutral,Male,40.537,40.103
0,69,,neutral,Male,87.863,83.635
0,70,,happiness,Male,34.046,37.655
0,71,,neutral,Male,43.964,39.811
0,72,,neutral,Male,41.594,51.493
0,73,,happiness,Female,59.072,56.746
0,74,,sadness,Male,70.01,69.984
0,75,,happiness,Male,74.752,74.697
0,76,,fear,Male,59.112,58.444
0,77,,neutral,Male,52.821,53.876
0,78,,neutral,Male,31.749,32.759
0,79,,neutral,Male,43.36,44.689
0,80,,sadness,Male,42.602,41.712
0,81,,neutral,Male,58.982,57.178
0,82,,happiness,Male,41.79,47.191
0,83,,neutral,Male,49.621,46.027
0,85,,neutral,Male,55.569,55.239
0,86,,neutral,Male,48.719,54.206
0,87,,happiness,Male,45.233,47.638
0,88,,happiness,Male,54.597,52.99
0,89,,sadness,Male,65.228,64.357
0,90,,neutral,Female,34.467,28.629
0,91,,sadness,Male,33.703,38.432
0,92,,neutral,Male,53.188,51.339
0,93,,neutral,Male,58.14,58.487
0,94,,happiness,Male,76.185,77.283
0,95,,neutral,Male,48.653,52.107
0,96,,neutral,Male,61.441,63.473
0,97,,neutral,Male,76.404,77.796
0,98,,anger,Male,60.929,62.277
0,99,,sadness,Male,33.096,37.318
0,100,,neutral,Male,46.392,47.574
0,101,,neutral,Male,36.06,38.618
0,102,,happiness,Male,71.453,71.782
0,103,,happiness,Male,60.2,55.034
0,104,,neutral,Male,69.5,66.402
0,105,,neutral,Male,45.118,44.103
0,107,,neutral,Male,46.954,46.256
0,108,,neutral,Male,55.315,58.444
0,109,,anger,Male,53.35,50.949
0,110,,happiness,Male,56.816,58.306
