,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,,neutral,Male,60.406,57.753
0,1,,neutral,Male,37.549,44.72
0,2,,happiness,Female,55.987,58.498
0,3,,disgust,Female,40.094,44.181
0,4,,happiness,Female,37.278,37.932
0,5,,neutral,Female,55.801,56.553
0,6,,happiness,Female,41.182,44.322
0,7,,neutral,Female,43.418,47.681
0,8,,happiness,Female,61.644,67.042
0,9,,neutral,Male,38.424,45.779
0,10,,happiness,Female,61.323,63.713
0,11,,neutral,Female,40.661,46.665
0,12,,happiness,Female,59.716,61.705
0,13,,disgust,Male,29.681,38.15
0,14,,neutral,Female,61.641,60.925
0,15,,neutral,Female,44.239,39.819
0,16,,disgust,Female,22.456,24.951
0,17,,happiness,Female,35.981,44.492
0,18,,neutral,Female,41.367,46.486
0,19,,happiness,Female,57.108,63.967
0,20,,happiness,Male,46.778,48.869
0,21,,neutral,Female,42.258,41.561
0,22,,surprise,Female,45.133,47.215
0,23,,happiness,Female,32.154,30.364
0,24,,happiness,Female,26.263,29.326
0,25,,happiness,Male,37.743,42.09
0,26,,happiness,Male,62.614,63.307
0,27,,happiness,Male,43.319,45.516
0,28,,happiness,Male,44.262,50.164
0,29,,disgust,Female,38.713,39.048
0,30,,happiness,Female,54.691,56.734
0,31,,sadness,Male,66.15,66.571
0,32,,happiness,Female,59.471,61.237
0,33,,happiness,Female,42.144,43.246
0,34,,neutral,Female,63.367,62.312
0,35,,happiness,Male,45.044,42.811
0,37,,disgust,Female,55.149,56.741
0,38,,happiness,Female,40.217,38.934
0,39,,happiness,Female,82.824,78.712
0,40,,happiness,Female,41.641,37.471
0,41,,happiness,Female,51.923,55.112
0,42,,happiness,Female,47.124,49.583
0,43,,happiness,Female,55.154,53.829
0,44,,happiness,Female,54.761,56.664
0,45,,happiness,Female,41.786,39.971
0,46,,happiness,Female,54.746,55.589
0,47,,happiness,Female,55.518,53.233
0,48,,neutral,Female,44.961,42.156
0,49,,disgust,Female,45.902,48.162
0,50,,happiness,Female,44.524,53.068
0,51,,anger,Male,61.29,60.466
0,52,,happiness,Female,48.087,56.191
0,53,,neutral,Male,66.116,65.802
0,54,,neutral,Female,31.877,31.516
0,55,,neutral,Female,41.944,40.112
0,56,,neutral,Female,27.746,30.713
0,57,,neutral,Female,37.308,37.149
0,58,,neutral,Female,56.383,59.815
0,59,,neutral,Female,63.783,65.211
0,60,,neutral,Male,36.822,43.925
0,61,,anger,Male,48.459,50.848
0,62,,neutral,Male,67.84,68.395
0,63,,disgust,Female,58.297,68.805
0,64,,happiness,Female,33.773,41.171
0,65,,happiness,Female,38.38,47.221
0,66,,sadness,Female,23.421,27.176
0,67,,disgust,Female,44.615,43.867
0,68,,neutral,Male,63.125,61.33
0,69,,happiness,Female,41.147,42.687
0,70,,happiness,Female,60.343,60.801
0,71,,anger,Female,44.086,52.539
0,72,,happiness,Female,47.012,48.132
0,73,,neutral,Female,54.951,51.549
0,74,,neutral,Female,40.063,39.055
0,75,,happiness,Female,58.366,55.368
0,76,,happiness,Female,51.208,54.671
0,77,,happiness,Female,34.972,35.061
0,78,,happiness,Female,50.734,46.051
0,79,,happiness,Female,29.105,36.013
0,80,,neutral,Female,40.761,41.758
0,81,,happiness,Female,44.424,51.62
0,82,,sadness,Female,41.855,45.547
0,83,,neutral,Female,49.585,51.377
0,84,,happiness,Male,48.718,48.974
0,85,,happiness,Female,54.483,57.174
0,86,,neutral,Female,40.864,40.158
0,87,,neutral,Female,60.894,61.175
0,88,,happiness,Female,33.326,44.315
0,89,,neutral,Female,45.414,46.15
0,90,,neutral,Female,52.944,56.31
0,91,,happiness,Male,60.934,59.465
0,92,,happiness,Female,62.065,58.763
0,93,,happiness,Female,40.846,46.553
0,94,,happiness,Female,47.489,52.959
0,95,,neutral,Female,56.13,60.68
0,96,,surprise,Female,55.912,56.717
0,97,,anger,Female,41.729,43.286
0,98,,neutral,Male,47.73,45.556
0,99,,neutral,Female,52.302,53.513
