,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,,happiness,Male,57.658,62.312
0,1,,neutral,Male,55.349,55.604
0,2,,happiness,Male,90.461,90.968
0,3,,neutral,Male,47.538,52.053
0,4,,neutral,Male,81.154,84.408
0,5,,happiness,Male,35.573,43.584
0,6,,happiness,Male,51.53,49.544
0,7,,neutral,Male,50.515,55.836
0,8,,happiness,Male,52.471,48.167
0,9,,happiness,Male,73.552,73.321
0,10,,surprise,Male,57.31,62.094
0,11,,fear,Male,52.803,54.143
0,12,,neutral,Male,72.09,69.916
0,13,,neutral,Male,52.15,53.117
0,14,,sadness,Male,54.017,60.718
0,15,,neutral,Male,48.829,46.738
0,16,,neutral,Male,45.772,50.74
0,17,,neutral,Male,53.616,56.57
0,18,,surprise,Male,59.543,56.638
0,19,,disgust,Male,43.524,47.42
0,20,,neutral,Male,35.524,41.596
0,22,,neutral,Male,57.255,51.672
0,24,,happiness,Male,65.53,67.098
0,25,,sadness,Male,60.695,58.254
0,26,,neutral,Male,61.445,60.418
0,27,,neutral,Male,60.165,58.391
0,28,,neutral,Male,37.658,43.558
0,30,,happiness,Male,54.492,56.494
0,31,,neutral,Male,53.533,49.484
0,32,,neutral,Male,40.555,45.992
0,33,,sadness,Male,32.809,42.307
0,34,,anger,Male,39.02,41.94
0,35,,neutral,Male,59.319,64.768
0,36,,neutral,Male,53.311,51.117
0,37,,sadness,Male,61.945,59.94
0,38,,happiness,Male,67.831,66.421
0,39,,disgust,Male,57.315,56.827
0,40,,happiness,Male,52.568,53.987
0,41,,neutral,Male,51.432,52.452
0,42,,happiness,Male,58.095,55.724
0,43,,anger,Male,52.614,53.448
0,44,,neutral,Male,54.677,61.745
0,45,,sadness,Male,42.618,37.633
0,46,,sadness,Male,45.649,41.884
0,47,,neutral,Male,43.488,49.789
0,48,,happiness,Male,60.551,59.432
0,49,,neutral,Male,68.609,68.513
0,50,,neutral,Male,45.736,48.135
0,51,,neutral,Male,53.214,55.848
0,52,,neutral,Male,61.975,58.995
0,53,,happiness,Male,62.362,63.883
0,54,,happiness,Male,63.964,58.444
0,55,,anger,Male,49.876,45.799
0,56,,disgust,Male,42.051,42.721
0,57,,neutral,Male,52.96,49.659
0,58,,happiness,Male,46.321,46.048
0,59,,neutral,Male,47.793,48.883
0,60,,neutral,Male,51.716,46.968
0,61,,happiness,Male,40.573,46.456
0,62,,anger,Male,60.23,57.772
0,63,,happiness,Male,42.377,43.326
0,64,,happiness,Male,46.51,45.547
0,65,,neutral,Male,62.537,60.508
0,66,,neutral,Male,64.874,65.021
0,68,,neutral,Male,62.354,59.517
0,69,,neutral,Male,43.142,44.055
0,70,,disgust,Male,45.488,49.322
0,71,,happiness,Male,44.941,49.677
0,72,,happiness,Male,48.353,47.33
0,73,,anger,Male,39.707,49.768
0,74,,neutral,Male,68.817,69.726
0,75,,disgust,Male,41.34,48.719
0,76,,neutral,Male,72.083,69.439
0,77,,happiness,Male,50.381,44.023
0,78,,neutral,Male,75.946,74.941
0,79,,neutral,Male,71.197,69.179
0,80,,happiness,Male,39.863,42.642
0,81,,neutral,Male,60.013,57.808
0,82,,neutral,Male,69.237,66.044
0,83,,surprise,Male,61.092,56.083
0,84,,neutral,Male,63.838,61.591
0,85,,surprise,Male,33.079,40.72
0,86,,neutral,Male,50.085,59.009
0,87,,neutral,Male,76.111,75.47
0,88,,happiness,Male,64.596,61.611
0,89,,anger,Male,58.207,61.635
0,90,,neutral,Male,46.195,52.554
0,91,,anger,Male,41.415,44.334
0,92,,disgust,Male,62.575,62.57
0,93,,happiness,Male,50.58,52.585
0,94,,happiness,Male,70.663,73.25
0,95,,neutral,Male,46.412,46.395
0,96,,happiness,Male,49.476,46.196
0,97,,neutral,Male,55.437,57.501
0,98,,happiness,Male,37.962,44.217
0,99,,neutral,Male,45.765,48.986
