,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,N/A,neutral,Male,48.101,49.093
0,1,N/A,N/A,N/A,N/A,N/A
0,2,N/A,anger,Male,55.526,56.316
0,3,N/A,disgust,Male,80.721,85.005
0,4,N/A,neutral,Male,71.825,75.976
0,5,N/A,neutral,Male,50.72,54.68
0,6,N/A,sadness,Male,65.364,69.955
0,7,N/A,neutral,Male,61.332,68.438
0,8,N/A,neutral,Male,69.51,71.665
0,9,N/A,neutral,Male,68.316,69.613
0,10,N/A,happiness,Male,34.848,35.148
0,11,N/A,surprise,Female,57.187,58.065
0,12,N/A,happiness,Female,66.629,65.057
0,13,N/A,happiness,Male,62.915,64.333
0,14,N/A,neutral,Male,85.85,88.684
0,15,N/A,neutral,Male,61.649,64.361
0,16,N/A,fear,Male,82.279,83.735
0,17,N/A,neutral,Male,68.316,69.613
0,18,N/A,neutral,Male,65.781,74.068
0,19,N/A,neutral,Male,65.799,68.539
0,20,N/A,neutral,Male,65.249,67.63
0,21,N/A,sadness,Male,54.71,60.087
0,22,N/A,happiness,Male,41.527,52.206
0,23,N/A,neutral,Male,53.395,51.545
0,24,N/A,anger,Male,69.635,76.949
0,25,N/A,neutral,Male,65.456,68.376
0,26,N/A,neutral,Male,60.434,55.865
0,27,N/A,happiness,Male,62.037,68.393
0,28,N/A,sadness,Male,85.168,90.461
0,29,N/A,happiness,Female,53.656,56.344
0,30,N/A,neutral,Male,70.808,66.132
0,31,N/A,neutral,Male,71.228,72.845
0,32,N/A,neutral,Male,82.689,87.104
0,33,N/A,disgust,Male,45.518,48.57
0,34,N/A,happiness,Female,72.206,76.128
0,35,N/A,sadness,Female,60.436,61.821
0,36,N/A,neutral,Male,50.691,58.099
0,37,N/A,neutral,Male,62.223,64.362
0,38,N/A,neutral,Male,67.5,67.724
0,39,N/A,neutral,Male,63.538,62.423
0,40,N/A,neutral,Male,55.147,55.745
0,41,N/A,happiness,Female,47.946,47.546
0,42,N/A,happiness,Male,68.795,70.825
0,43,N/A,happiness,Female,45.972,47.027
0,44,N/A,happiness,Male,81.329,85.58
0,45,N/A,neutral,Male,50.72,54.68
0,46,N/A,neutral,Male,30.112,37.537
0,47,N/A,anger,Male,62.289,63.918
0,48,N/A,happiness,Male,47.768,49.043
0,49,N/A,neutral,Male,65.141,68.515
0,50,N/A,anger,Male,74.163,75.159
0,51,N/A,neutral,Male,77.923,76.731
0,52,N/A,sadness,Male,74.44,79.113
0,53,N/A,fear,Male,48.296,53.91
0,54,N/A,anger,Male,45.482,51.315
0,55,N/A,sadness,Female,61.613,57.228
0,56,N/A,sadness,Male,74.44,79.113
0,57,N/A,neutral,Male,55.26,56.758
0,58,N/A,anger,Male,45.482,51.315
0,59,N/A,sadness,Male,62.838,63.235
0,60,N/A,neutral,Male,48.68,50.198
0,61,N/A,neutral,Female,86.499,85.312
0,62,N/A,neutral,Male,43.862,45.487
0,63,N/A,neutral,Male,71.052,74.984
0,64,N/A,happiness,Male,62.945,62.29
0,65,N/A,neutral,Male,48.265,52.815
0,66,N/A,neutral,Male,71.885,74.849
0,67,N/A,neutral,Male,53.294,50.958
0,68,N/A,happiness,Male,83.07,85.348
0,69,N/A,neutral,Male,74.715,76.616
0,70,N/A,disgust,Female,52.771,51.462
0,71,N/A,anger,Male,48.069,50.286
0,72,N/A,neutral,Male,57.264,59.501
0,73,N/A,anger,Male,48.069,50.286
0,74,N/A,neutral,Male,73.351,75.96
0,75,N/A,happiness,Male,73.033,75.108
0,76,N/A,happiness,Male,30.262,44.159
0,77,N/A,neutral,Male,74.824,76.917
0,78,N/A,neutral,Male,69.51,71.665
0,79,N/A,neutral,Male,40.755,43.702
0,80,N/A,happiness,Male,65.766,61.828
0,81,N/A,happiness,Male,38.756,41.616
0,82,N/A,neutral,Male,65.085,65.837
0,83,N/A,neutral,Male,57.028,54.019
0,84,N/A,neutral,Male,57.028,54.019
0,85,N/A,anger,Male,78.115,81.742
0,86,N/A,anger,Male,78.115,81.742
0,87,N/A,fear,Female,43.444,46.854
0,88,N/A,anger,Male,59.01,59.708
0,89,N/A,neutral,Male,81.584,83.281
0,90,N/A,neutral,Male,68.574,70.831
0,91,N/A,neutral,Female,55.227,50.941
0,92,N/A,neutral,Male,48.436,52.769
0,93,N/A,fear,Male,64.954,64.27
0,94,N/A,disgust,Male,51.109,52.466
0,95,N/A,anger,Male,50.826,50.1
0,96,N/A,neutral,Male,70.249,75.573
0,97,N/A,neutral,Male,56.113,61.339
0,98,N/A,happiness,Female,61.906,66.809
0,99,N/A,sadness,Male,59.394,59.933
