,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,N/A,fear,Male,61.571,57.41
0,1,N/A,neutral,Male,51.453,53.074
0,2,N/A,neutral,Male,59.007,55.888
0,3,N/A,sadness,Male,49.145,55.994
0,4,N/A,neutral,Male,52.798,48.206
0,5,N/A,happiness,Male,74.772,76.837
0,6,N/A,neutral,Female,55.251,54.287
0,7,N/A,happiness,Male,47.594,54.495
0,8,N/A,anger,Male,66.332,66.335
0,9,N/A,anger,Female,52.879,51.255
0,10,N/A,happiness,Male,72.724,70.071
0,11,N/A,neutral,Male,39.77,38.705
0,12,N/A,happiness,Female,46.771,46.33
0,13,N/A,happiness,Male,57.633,62.356
0,14,N/A,neutral,Male,60.578,62.066
0,15,N/A,neutral,Male,68.248,70.048
0,16,N/A,happiness,Male,32.239,39.336
0,17,N/A,neutral,Female,47.435,47.556
0,18,N/A,happiness,Male,63.916,62.374
0,19,N/A,sadness,Male,66.814,63.511
0,20,N/A,surprise,Male,49.131,52.803
0,21,N/A,happiness,Male,67.887,67.399
0,22,N/A,neutral,Male,61.358,60.729
0,23,N/A,happiness,Male,67.203,63.603
0,24,N/A,sadness,Male,49.675,59.039
0,25,N/A,happiness,Male,63.916,62.374
0,26,N/A,neutral,Female,50.384,48.687
0,27,N/A,neutral,Male,55.253,57.492
0,28,N/A,happiness,Male,67.887,67.399
0,29,N/A,neutral,Male,60.624,61.539
0,30,N/A,neutral,Male,26.448,36.779
0,31,N/A,neutral,Male,57.637,54.379
0,32,N/A,neutral,Male,52.28,47.647
0,33,N/A,neutral,Male,55.253,57.492
0,34,N/A,neutral,Male,52.798,48.206
0,35,N/A,happiness,Female,58.657,65.887
0,36,N/A,happiness,Male,53.342,61.373
0,37,N/A,neutral,Male,57.637,54.379
0,38,N/A,sadness,Female,40.613,45.751
0,39,N/A,happiness,Male,51.354,55.366
0,40,N/A,neutral,Female,48.014,46.301
0,41,N/A,fear,Male,50.967,50.269
0,42,N/A,neutral,Male,58.712,62.425
0,43,N/A,neutral,Male,63.701,65.837
0,44,N/A,neutral,Female,44.17,43.792
0,45,N/A,neutral,Male,72.022,71.57
0,46,N/A,neutral,Female,64.227,63.402
0,47,N/A,fear,Male,57.855,59.017
0,48,N/A,neutral,Male,49.503,52.979
0,49,N/A,fear,Male,61.051,62.353
0,50,N/A,neutral,Male,44.048,48.72
0,51,N/A,happiness,Male,63.44,62.664
0,52,N/A,neutral,Male,55.687,53.811
0,53,N/A,neutral,Male,43.367,43.128
0,54,N/A,happiness,Male,68.351,71.782
0,55,N/A,neutral,Male,52.353,58.473
0,56,N/A,happiness,Male,48.043,50.157
0,57,N/A,neutral,Male,41.684,48.477
0,58,N/A,happiness,Male,53.93,55.275
0,59,N/A,neutral,Male,52.353,58.473
0,60,N/A,surprise,Male,59.243,59.431
0,61,N/A,neutral,Male,25.304,31.441
0,62,N/A,neutral,Male,56.956,56.287
0,63,N/A,neutral,Male,48.633,54.06
0,64,N/A,happiness,Female,65.213,63.535
0,65,N/A,happiness,Female,63.25,63.45
0,66,N/A,neutral,Male,40.505,39.785
0,67,N/A,sadness,Female,56.052,60.103
0,68,N/A,disgust,Male,36.46,37.929
0,69,N/A,neutral,Female,60.725,61.736
0,70,N/A,sadness,Male,58.728,58.969
0,71,N/A,anger,Male,60.62,61.41
0,72,N/A,happiness,Male,43.733,45.733
0,73,N/A,sadness,Male,61.877,57.584
0,74,N/A,neutral,Male,63.818,64.723
0,75,N/A,neutral,Male,27.229,34.32
0,76,N/A,sadness,Female,56.254,50.771
0,77,N/A,neutral,Female,67.334,62.859
0,78,N/A,anger,Male,66.332,66.335
0,79,N/A,surprise,Male,50.605,52.351
0,80,N/A,happiness,Male,46.406,59.181
0,81,N/A,happiness,Male,39.021,47.809
0,82,N/A,neutral,Male,51.282,45.756
0,83,N/A,neutral,Male,51.282,45.756
0,84,N/A,N/A,N/A,N/A,N/A
0,85,N/A,neutral,Female,35.571,33.345
0,86,N/A,disgust,Male,52.293,47.266
0,87,N/A,happiness,Female,49.173,53.918
0,88,N/A,neutral,Male,54.917,52.002
0,89,N/A,happiness,Female,46.414,51.984
0,90,N/A,disgust,Male,49.273,57.219
0,91,N/A,neutral,Female,58.029,57.001
0,92,N/A,happiness,Female,57.204,61.688
0,93,N/A,neutral,Male,57.454,54.636
0,94,N/A,neutral,Female,57.972,53.344
0,95,N/A,neutral,Male,46.799,48.347
0,96,N/A,neutral,Female,62.607,59.192
0,97,N/A,happiness,Female,59.382,59.772
0,98,N/A,sadness,Male,63.18,61.555
0,99,N/A,sadness,Female,47.931,51.082
