,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,N/A,surprise,Male,63.854,68.772
0,1,N/A,,,,
0,2,N/A,happiness,Male,53.472,54.405
0,3,N/A,neutral,Female,72.289,75.979
0,4,N/A,neutral,Male,45.51,47.265
0,5,N/A,happiness,Male,54.448,46.718
0,6,N/A,surprise,Male,42.722,40.952
0,7,N/A,neutral,Male,59.33,60.449
0,8,N/A,surprise,Male,63.187,65.058
0,9,N/A,anger,Male,49.916,53.788
0,10,N/A,neutral,Male,49.64,54.619
0,11,N/A,neutral,Male,58.123,58.715
0,12,N/A,neutral,Male,49.771,53.514
0,13,N/A,neutral,Male,60.946,61.675
0,14,N/A,,,,
0,15,N/A,neutral,Male,60.672,55.211
0,16,N/A,happiness,Male,53.05,56.325
0,17,N/A,neutral,Male,61.235,55.904
0,18,N/A,,,,
0,19,N/A,,,,
0,20,N/A,happiness,Male,44.955,44.983
0,21,N/A,happiness,Female,48.293,43.667
0,22,N/A,happiness,Male,44.887,44.923
0,23,N/A,,,,
0,24,N/A,neutral,Male,62.001,61.861
0,25,N/A,neutral,Male,52.105,51.79
0,26,N/A,neutral,Male,52.581,53.989
0,27,N/A,anger,Male,52.919,51.933
0,28,N/A,surprise,Male,63.637,63.891
0,29,N/A,surprise,Male,59.17,61.91
0,30,N/A,happiness,Male,63.443,66.037
0,31,N/A,neutral,Male,52.01,53.863
0,32,N/A,,,,
0,33,N/A,anger,Male,50.439,53.424
0,34,N/A,happiness,Female,65.38,68.589
0,35,N/A,sadness,Female,50.389,51.417
0,36,N/A,sadness,Male,45.807,51.781
0,37,N/A,neutral,Male,57.034,62.249
0,38,N/A,neutral,Male,66.612,65.677
0,39,N/A,sadness,Male,51.453,56.974
0,40,N/A,happiness,Male,56.09,57.333
0,41,N/A,surprise,Male,58.809,57.223
0,42,N/A,,,,
0,43,N/A,,,,
0,44,N/A,neutral,Female,66.764,66.362
0,45,N/A,neutral,Male,53.774,55.737
0,46,N/A,happiness,Male,49.048,44.545
0,47,N/A,neutral,Female,60.346,64.165
0,48,N/A,neutral,Male,58.279,68.799
0,49,N/A,,,,
0,50,N/A,sadness,Male,49.65,51.544
0,51,N/A,sadness,Male,61.943,61.304
0,52,N/A,neutral,Female,55.825,55.098
0,53,N/A,,,,
0,54,N/A,neutral,Male,50.196,48.43
0,56,N/A,neutral,Male,58.892,63.431
0,57,N/A,surprise,Male,64.326,64.486
0,58,N/A,surprise,Male,49.192,52.479
0,59,N/A,,,,
0,60,N/A,happiness,Male,41.639,38.76
0,62,N/A,sadness,Male,61.764,64.464
0,63,N/A,happiness,Male,27.75,35.858
0,64,N/A,surprise,Male,66.318,66.832
0,66,N/A,happiness,Male,46.055,44.295
0,67,N/A,neutral,Male,38.441,47.066
0,68,N/A,happiness,Male,59.442,59.975
0,69,N/A,neutral,Male,63.185,60.675
0,70,N/A,surprise,Female,47.84,58.672
0,71,N/A,neutral,Male,62.908,60.346
0,72,N/A,anger,Male,36.172,35.518
0,73,N/A,neutral,Male,59.439,59.613
0,74,N/A,fear,Male,48.276,46.37
0,75,N/A,neutral,Male,60.531,57.571
0,76,N/A,surprise,Male,54.927,55.855
0,77,N/A,neutral,Female,60.801,62.71
0,78,N/A,neutral,Male,50.126,55.933
0,79,N/A,neutral,Female,64.662,62.717
0,80,N/A,happiness,Female,40.048,45.842
0,81,N/A,neutral,Male,69.156,70.405
0,82,N/A,neutral,Male,63.318,62.204
0,83,N/A,neutral,Male,58.067,59.792
0,84,N/A,sadness,Male,55.708,56.905
0,85,N/A,neutral,Female,52.132,49.762
0,87,N/A,happiness,Male,50.79,54.533
0,88,N/A,neutral,Male,74.757,74.969
0,89,
0,90,N/A,sadness,Male,55.933,54.071
0,91,N/A,surprise,Male,50.29,53.493
0,93,N/A,happiness,Female,51.096,52.541
0,94,N/A,sadness,Male,54.856,52.9
0,95,N/A,sadness,Female,63.872,67.953
0,96,N/A,neutral,Male,73.406,72.076
0,97,N/A,neutral,Male,48.627,55.203
0,98,N/A,neutral,Male,48.167,45.244
0,99,N/A,happiness,Male,39.006,39.389
