,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,,surprise,Male,63.854,68.772
0,2,,happiness,Male,53.472,54.405
0,3,,neutral,Female,72.289,75.979
0,4,,neutral,Male,45.51,47.265
0,5,,happiness,Male,54.448,46.718
0,6,,surprise,Male,42.722,40.952
0,7,,neutral,Male,59.33,60.449
0,8,,surprise,Male,63.187,65.058
0,9,,anger,Male,49.916,53.788
0,10,,neutral,Male,49.64,54.619
0,11,,neutral,Male,58.123,58.715
0,12,,neutral,Male,49.771,53.514
0,13,,neutral,Male,60.946,61.675
0,15,,neutral,Male,60.672,55.211
0,16,,happiness,Male,53.05,56.325
0,17,,neutral,Male,61.235,55.904
0,20,,happiness,Male,44.955,44.983
0,21,,happiness,Female,48.293,43.667
0,22,,happiness,Male,44.887,44.923
0,24,,neutral,Male,62.001,61.861
0,25,,neutral,Male,52.105,51.79
0,26,,neutral,Male,52.581,53.989
0,27,,anger,Male,52.919,51.933
0,28,,surprise,Male,63.637,63.891
0,29,,surprise,Male,59.17,61.91
0,30,,happiness,Male,63.443,66.037
0,31,,neutral,Male,52.01,53.863
0,33,,anger,Male,50.439,53.424
0,34,,happiness,Female,65.38,68.589
0,35,,sadness,Female,50.389,51.417
0,36,,sadness,Male,45.807,51.781
0,37,,neutral,Male,57.034,62.249
0,38,,neutral,Male,66.612,65.677
0,39,,sadness,Male,51.453,56.974
0,40,,happiness,Male,56.09,57.333
0,41,,surprise,Male,58.809,57.223
0,44,,neutral,Female,66.764,66.362
0,45,,neutral,Male,53.774,55.737
0,46,,happiness,Male,49.048,44.545
0,47,,neutral,Female,60.346,64.165
0,48,,neutral,Male,58.279,68.799
0,50,,sadness,Male,49.65,51.544
0,51,,sadness,Male,61.943,61.304
0,52,,neutral,Female,55.825,55.098
0,54,,neutral,Male,50.196,48.43
0,56,,neutral,Male,58.892,63.431
0,57,,surprise,Male,64.326,64.486
0,58,,surprise,Male,49.192,52.479
0,60,,happiness,Male,41.639,38.76
0,62,,sadness,Male,61.764,64.464
0,63,,happiness,Male,27.75,35.858
0,64,,surprise,Male,66.318,66.832
0,66,,happiness,Male,46.055,44.295
0,67,,neutral,Male,38.441,47.066
0,68,,happiness,Male,59.442,59.975
0,69,,neutral,Male,63.185,60.675
0,70,,surprise,Female,47.84,58.672
0,71,,neutral,Male,62.908,60.346
0,72,,anger,Male,36.172,35.518
0,73,,neutral,Male,59.439,59.613
0,74,,fear,Male,48.276,46.37
0,75,,neutral,Male,60.531,57.571
0,76,,surprise,Male,54.927,55.855
0,77,,neutral,Female,60.801,62.71
0,78,,neutral,Male,50.126,55.933
0,79,,neutral,Female,64.662,62.717
0,80,,happiness,Female,40.048,45.842
0,81,,neutral,Male,69.156,70.405
0,82,,neutral,Male,63.318,62.204
0,83,,neutral,Male,58.067,59.792
0,84,,sadness,Male,55.708,56.905
0,85,,neutral,Female,52.132,49.762
0,87,,happiness,Male,50.79,54.533
0,88,,neutral,Male,74.757,74.969
0,90,,sadness,Male,55.933,54.071
0,91,,surprise,Male,50.29,53.493
0,93,,happiness,Female,51.096,52.541
0,94,,sadness,Male,54.856,52.9
0,95,,sadness,Female,63.872,67.953
0,96,,neutral,Male,73.406,72.076
0,97,,neutral,Male,48.627,55.203
0,98,,neutral,Male,48.167,45.244
0,99,,happiness,Male,39.006,39.389
