,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,,happiness,Male,79.167,80.537
0,1,,happiness,Male,42.731,40.152
0,3,,happiness,Male,51.341,53.275
0,4,,disgust,Male,42.223,42.016
0,5,,neutral,Male,50.176,53.262
0,6,,disgust,Male,51.465,46.865
0,7,,neutral,Male,57.381,60.708
0,8,,happiness,Female,57.794,61.15
0,9,,disgust,Male,50.427,52.623
0,10,,happiness,Male,50.447,57.289
0,11,,neutral,Male,58.32,57.569
0,12,,anger,Male,75.413,80.603
0,13,,sadness,Male,60.125,64.864
0,14,,happiness,Male,52.186,52.215
0,15,,neutral,Male,76.541,79.798
0,16,,happiness,Male,79.619,79.884
0,17,,happiness,Male,62.499,59.906
0,18,,happiness,Male,33.884,46.223
0,19,,anger,Male,50.517,50.418
0,20,,anger,Male,40.107,47.687
0,21,,happiness,Male,74.634,76.292
0,22,,happiness,Male,41.604,46.255
0,23,,neutral,Male,68.127,74.359
0,24,,happiness,Male,69.388,77.387
0,25,,neutral,Male,67.295,71.064
0,26,,neutral,Male,37.729,36.301
0,27,,sadness,Male,62.627,63.344
0,28,,disgust,Male,54.817,58.476
0,29,,neutral,Male,39.843,43.165
0,30,,anger,Male,61.051,63.911
0,31,,neutral,Male,76.155,72.753
0,32,,neutral,Male,83.059,81.876
0,33,,anger,Male,69.407,66.621
0,34,,neutral,Male,33.711,40.156
0,35,,happiness,Male,48.643,51.227
0,36,,happiness,Male,68.582,70.857
0,37,,neutral,Male,72.617,75.277
0,38,,happiness,Male,73.572,73.772
0,39,,happiness,Male,42.331,49.794
0,40,,surprise,Male,65.695,64.616
0,41,,neutral,Male,29.649,39.018
0,42,,happiness,Male,42.372,46.652
0,43,,neutral,Male,48.992,48.265
0,44,,neutral,Male,52.918,56.311
0,45,,neutral,Male,78.194,78.953
0,46,,neutral,Male,55.997,53.02
0,47,,neutral,Male,54.009,55.465
0,48,,sadness,Female,62.128,61.881
0,49,,neutral,Male,53.112,53.114
0,50,,happiness,Male,43.543,46.442
0,51,,neutral,Male,62.107,68.794
0,52,,happiness,Male,64.64,65.53
0,53,,happiness,Male,48.755,52.903
0,54,,neutral,Male,69.716,68.653
0,55,,surprise,Male,53.676,57.063
0,56,,neutral,Male,48.603,47.825
0,57,,happiness,Male,59.012,54.674
0,58,,neutral,Male,52.367,53.782
0,59,,anger,Male,62.487,64.293
0,60,,disgust,Male,39.882,45.537
0,61,,happiness,Male,42.914,52.091
0,62,,happiness,Male,48.878,51.192
0,63,,happiness,Male,40.5,44.726
0,64,,happiness,Male,51.646,52.997
0,65,,neutral,Male,54.629,53.443
0,66,,neutral,Male,75.709,76.689
0,67,,anger,Female,49.451,54.647
0,68,,neutral,Male,70.98,65.328
0,69,,neutral,Male,40.868,39.514
0,70,,neutral,Male,79.598,84.373
0,71,,neutral,Male,24.495,33.161
0,72,,neutral,Male,77.449,80.291
0,73,,neutral,Male,68.92,72.674
0,74,,disgust,Male,71.765,79.58
0,75,,surprise,Male,56.051,54.52
0,76,,neutral,Male,61.284,63.942
0,77,,fear,Male,59.202,62.806
0,78,,anger,Male,59.148,61.556
0,79,,surprise,Male,78.152,78.799
0,80,,happiness,Male,63.705,66.032
0,81,,anger,Male,54.261,56.511
0,82,,anger,Male,55.96,58.858
0,83,,neutral,Male,59.421,66.995
0,84,,disgust,Male,71.993,74.215
0,85,,disgust,Male,43.85,46.766
0,86,,neutral,Female,67.854,68.072
0,87,,neutral,Male,48.568,48.877
0,88,,neutral,Male,60.764,60.075
0,89,,neutral,Male,52.357,54.618
0,90,,neutral,Male,63.115,67.409
0,91,,neutral,Male,77.429,82.607
0,92,,anger,Male,57.119,61.122
0,93,,neutral,Male,79.698,79.608
0,94,,happiness,Male,68.268,67.896
0,95,,neutral,Male,70.763,72.518
0,96,,neutral,Male,70.414,77.497
0,97,,neutral,Female,62.412,64.776
0,98,,neutral,Male,81.099,82.043
0,99,,happiness,Male,62.267,66.696
