,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,0,,happiness,Female,60.42,63.407
0,1,,happiness,Female,47.841,49.648
0,2,,sadness,Female,49.561,50.84
0,3,,happiness,Female,58.257,59.757
0,4,,neutral,Female,83.821,84.694
0,5,,happiness,Female,71.582,75.686
0,6,,neutral,Female,76.54,79.378
0,7,,happiness,Female,55.764,54.877
0,8,,happiness,Female,63.642,65.898
0,9,,disgust,Female,51.51,55.532
0,10,,surprise,Female,77.355,81.662
0,11,,happiness,Female,69.685,77.898
0,12,,happiness,Female,59.685,63.983
0,13,,surprise,Female,60.851,59.973
0,14,,fear,Female,56.444,50.894
0,15,,sadness,Male,72.051,73.409
0,16,,happiness,Female,59.402,57.178
0,17,,happiness,Female,61.201,64.817
0,18,,happiness,Female,30.598,33.907
0,19,,happiness,Female,65.839,67.967
0,20,,happiness,Female,61.233,61.947
0,21,,happiness,Female,68.632,70.468
0,22,,happiness,Female,63.675,68.013
0,23,,happiness,Female,40.886,46.014
0,24,,happiness,Female,64.228,66.455
0,25,,neutral,Female,23.06,32.425
0,26,,neutral,Male,55.679,55.507
0,27,,happiness,Female,68.479,67.919
0,28,,happiness,Female,54.642,53.756
0,29,,happiness,Female,71.11,73.701
0,30,,happiness,Female,40.25,44.597
0,31,,happiness,Female,48.551,47.115
0,32,,disgust,Female,29.591,36.259
0,33,,happiness,Female,57.138,62.223
0,34,,happiness,Female,68.322,74.58
0,36,,happiness,Female,67.236,63.822
0,38,,happiness,Female,50.352,50.673
0,39,,happiness,Female,42.184,39.709
0,40,,happiness,Female,34.575,43.634
0,41,,happiness,Female,54.625,65.195
0,42,,anger,Female,36.001,47.082
0,43,,happiness,Female,45.277,48.182
0,44,,happiness,Female,60.625,64.47
0,45,,happiness,Female,62.459,65.53
0,46,,happiness,Female,51.421,58.875
0,47,,happiness,Female,82.475,81.291
0,48,,happiness,Female,75.729,80.795
0,49,,happiness,Female,52.816,54.141
0,50,,happiness,Female,43.527,45.774
0,51,,neutral,Female,64.416,61.52
0,52,,happiness,Female,79.669,81.343
0,53,,happiness,Female,47.967,47.699
0,54,,happiness,Female,36.036,38.008
0,55,,happiness,Female,61.104,67.254
0,56,,happiness,Female,75.269,81.34
0,57,,happiness,Female,70.756,69.378
0,58,,fear,Female,62.378,68.952
0,59,,happiness,Female,85.705,87.296
0,60,,happiness,Female,77.287,81.186
0,61,,happiness,Female,61.932,64.212
0,62,,happiness,Female,75.065,78.925
0,63,,happiness,Female,39.86,43.532
0,64,,neutral,Female,61.369,58.959
0,65,,happiness,Female,66.509,66.302
0,66,,happiness,Female,65.135,69.176
0,67,,happiness,Female,32.934,32.435
0,68,,happiness,Female,31.543,36.01
0,69,,happiness,Female,87.253,88.72
0,70,,happiness,Female,72.302,77.812
0,71,,happiness,Female,53.69,54.728
0,72,,anger,Female,59.905,63.609
0,73,,surprise,Female,58.66,58.922
0,74,,neutral,Female,58.22,58.802
0,75,,happiness,Female,81.259,84.21
0,76,,neutral,Female,64.285,64.764
0,77,,happiness,Female,49.297,51.564
0,78,,happiness,Female,46.334,44.871
0,79,,neutral,Female,86.436,86.983
0,80,,neutral,Female,81.958,84.05
0,81,,happiness,Female,84.484,84.933
0,82,,happiness,Female,60.647,61.625
0,83,,neutral,Female,76.426,78.69
0,84,,happiness,Female,39.789,44.321
0,85,,neutral,Female,39.685,45.922
0,86,,neutral,Female,85.126,88.381
0,87,,happiness,Female,67.087,68.191
0,88,,neutral,Female,73.858,80.95
0,89,,happiness,Female,34.306,31.946
0,90,,happiness,Female,50.685,49.186
0,91,,happiness,Female,63.994,64.476
0,92,,neutral,Female,32.86,36.485
0,93,,happiness,Female,60.153,62.714
0,94,,neutral,Female,28.218,35.226
0,95,,happiness,Female,62.443,58.987
0,96,,happiness,Female,51.734,49.346
0,97,,neutral,Female,84.91,86.149
0,98,,anger,Female,48.662,52.187
0,99,,happiness,Female,56.464,61.963
