,id,predicted_ethnicity,predicted_emotion,predicted_gender,male_beauty_score,female_beauty_score
0,1,,anger,Male,70.984,69.01
0,2,,neutral,Male,64.726,63.003
0,5,,neutral,Male,60.992,62.526
0,6,,anger,Male,47.615,57.697
0,7,,happiness,Male,66.354,72.815
0,8,,fear,Male,57.082,64.379
0,9,,happiness,Male,69.237,74.936
0,10,,neutral,Male,39.36,47.475
0,11,,neutral,Male,73.045,67.924
0,12,,sadness,Male,72.634,72.834
0,13,,disgust,Male,58.759,57.294
0,14,,neutral,Male,57.802,55.155
0,15,,anger,Male,56.9,56.945
0,16,,happiness,Male,60.338,63.074
0,17,,anger,Male,47.855,42.123
0,18,,neutral,Male,40.413,41.245
0,19,,neutral,Male,75.727,79.858
0,20,,happiness,Male,47.804,44.21
0,21,,sadness,Male,60.953,61.242
0,22,,neutral,Male,66.853,64.96
0,23,,neutral,Male,54.389,52.41
0,24,,happiness,Male,57.505,59.581
0,25,,anger,Male,39.471,37.321
0,26,,neutral,Male,68.788,71.696
0,27,,neutral,Male,61.812,63.198
0,28,,neutral,Male,59.058,57.532
0,30,,neutral,Female,70.895,68.379
0,31,,disgust,Male,60.119,62.618
0,32,,happiness,Male,64.041,70.448
0,33,,happiness,Male,68.512,70.924
0,34,,anger,Male,63.599,70.789
0,35,,happiness,Male,40.143,42.246
0,37,,neutral,Male,73.141,78.684
0,38,,disgust,Male,40.431,49.298
0,39,,disgust,Female,64.812,58.425
0,40,,neutral,Male,87.275,85.546
0,41,,neutral,Male,64.331,61.502
0,42,,neutral,Male,59.34,59.598
0,43,,neutral,Male,53.258,53.295
0,44,,neutral,Male,50.877,54.922
0,46,,happiness,Male,69.171,74.978
0,47,,neutral,Male,73.387,76.284
0,48,,neutral,Male,52.266,53.214
0,49,,anger,Male,44.407,42.749
0,50,,fear,Male,44.708,43.891
0,51,,surprise,Male,58.055,56.374
0,52,,neutral,Male,68.209,71.772
0,53,,happiness,Male,54.13,58.964
0,54,,neutral,Male,70.351,74.749
0,55,,happiness,Female,56.028,48.537
0,56,,neutral,Male,44.444,45.276
0,57,,happiness,Male,74.797,75.516
0,58,,surprise,Male,66.475,68.523
0,59,,neutral,Male,66.645,63.459
0,60,,neutral,Male,59.531,57.801
0,61,,happiness,Male,58.763,58.095
0,62,,neutral,Male,59.18,58.381
0,64,,happiness,Male,39.528,58.593
0,66,,happiness,Male,57.834,57.184
0,68,,neutral,Male,62.498,65.766
0,69,,neutral,Male,45.724,51.7
0,70,,happiness,Male,53.408,53.055
0,71,,neutral,Male,47.685,50.945
0,72,,neutral,Male,48.292,45.233
0,73,,fear,Male,56.766,52.616
0,74,,neutral,Male,69.844,67.472
0,75,,happiness,Male,81.206,80.577
0,76,,happiness,Male,65.631,65.165
0,77,,neutral,Male,63.826,63.697
0,78,,fear,Male,56.791,56.586
0,79,,happiness,Male,87.937,88.057
0,80,,happiness,Male,60.938,62.843
0,81,,neutral,Male,54.981,59.279
0,82,,sadness,Male,65.433,63.46
0,83,,neutral,Male,74.617,74.902
0,84,,disgust,Male,70.719,70.911
0,85,,neutral,Male,62.644,65.056
0,86,,happiness,Male,53.913,55.177
0,87,,disgust,Female,70.704,73.384
0,88,,neutral,Male,52.815,57.151
0,89,,neutral,Male,67.038,74.369
0,90,,neutral,Male,71.846,70.045
0,91,,anger,Male,65.594,66.078
0,92,,neutral,Female,66.921,70.092
0,93,,neutral,Male,77.502,74.557
0,95,,neutral,Male,66.551,71.622
0,96,,happiness,Male,55.014,59.13
0,97,,surprise,Male,43.242,45.396
0,98,,happiness,Male,59.532,61.909
0,99,,neutral,Male,61.834,73.67
